NPCNoItemsAtStall |= 판매하는 아이템은 어디에 있지? 나가볼게!
NPCStallItemsAcceptablePrice |= 값싼 물건 사는 것을 좋아해. 값싼 물건은 거부할 수 없지.
NPCStallItemsAcceptablePrice |= 오, 특가 상품인가?
NPCStallItemsAcceptablePrice |= 저렴한 물건을 찾고 있어요.
NPCStallItemsAcceptablePrice |= 이게 다 뭐야? 여기서 무슨 일이 일어나고 있는 거야?
NPCStallItemsAcceptablePrice |= 이건 값어치가 있어 보이는데 가격이 매겨지지 않는다는 뜻이지.
NPCStallItemsAcceptablePrice |= 좋은 거 있어?
NPCStallItemsAcceptablePrice |= 저건 뭐야?
NPCStallItemsAcceptablePrice |= 재밌는 거 없어?
NPCStallItemsAcceptablePrice |= 쇼핑하기 좋은 날이야.
NPCStallItemsAcceptablePrice |= 쇼핑할 시간이네.
NPCStallItemsAcceptablePrice |= 물건 좀 사야겠어.
NPCStallItemsAcceptablePrice |= 상점에 대한 대안이 있어서 좋네.
NPCStallItemsUnacceptablePrice |= 완전 쓰레기야!
NPCStallItemsUnacceptablePrice |= 그만한 가치가 없어.
NPCStallItemsUnacceptablePrice |= 시간 낭비야.
NPCStallItemsUnacceptablePrice |= 너무 비싸다!
NPCStallItemsUnacceptablePrice |= 그 가격에 살리가 없지.
NPCStallItemsUnacceptablePrice |= 정말 바가지네!
NPCStallItemsUnacceptablePrice |= 허! 다른 데로 갈게.
NPCStallItemsUnacceptablePrice |= 바보와 바보의 돈은 여기서 헤어지지 않아!
NPCStallItemsUnacceptablePrice |= 안돼. 나에겐 아니야.
NPCStallItemsUnacceptablePrice |= 내 피에 비하면 너무 부자야.
NPCStallItemsUnacceptablePrice |= 내가 힘들게 번 브라스를 버리는 거지.
PCShopperLeaving |= 오늘은 쇼핑을 충분히 했어.
NPCShopperQuickSell |= 고마워! 훌륭한 가격이네!
NPCShopperQuickSell |= 고마워! 좋은 가격 같아.
NPCShopperQuickSell |= 좋아, 내가 원하던 바로 그거였어...
NPCShopperQuickSell |= 정말 매혹적인 가판대네!
NPCShopperQuickSell |= 고마워요!
NPCShopperQuickSell |= 정말 고마워요. 다시 올게요.
NPCShopperQuickSell |= 멋진 가판대네.
NPCShopperQuickSell |= 소중히 간직하겠네.
NPCShopperQuickSell |= 거기서 진짜 싸게 샀어.
NPCShopperQuickSell |= 아주 좋아!
NPCShopperQuickSell |= 보기만큼 맛있길 바라네.
NPCShopperQuickSell |= 감당할 수 있는 가격이다!
NPCShopperQuickSell |= 좋은 구매였어.
NPCShopperQuickSell |= 이곳을 위해 건배!
NPCShopperQuickSell |= 10점 만점에 10점. 여기서 다시 쇼핑할게.
NPCShopperQuickSell |= 언젠가 여기서 다시 보자고.
