형제House |= 형제자매 만나기
형제HouseNamed |= 형제자매 만나기, <VAR1>
형제HouseDescription |= 멜로우필드의 아웃레인 북쪽 스톤크라운으로 가서 형제자매의 집을 찾으세요.

AnnualCompetition_ThemePopup |= 올해의 <VAR1> 테마는 <VAR2>입니다.
AnnualCompetition_Theme_MADE_BREAD |= 빵
AnnualCompetition_Theme_MADE_JAM |= 잼
AnnualCompetition_Theme_MADE_PIES |= 파이
AnnualCompetition_Theme_MADE_PUDDING |= 푸딩
AnnualCompetition_Theme_MADE_SANDWICH |= 샌드위치
AnnualCompetition_Theme_MADE_SOUP |= 수프
AnnualCompetition_Theme_MADE_STEW |= 스튜
AnnualCompetition_Theme_MADE_FISH |= 물고기
AnnualCompetition_Theme_MADE_VEG |= 채소
AnnualCompetition_Theme_MADE_MATERIALS |= 꽃

CookingFayreT1 |= 올해 페스트필드 음식 축제를 위해 모두 모인 것 같네요.
CookingFayreT2 |= 올해도 훌륭한 작품들이 출품되었지만 우승자는 단 한 명뿐입니다! 먼저 오늘의 준우승자를 소개합니다...
CookingFayreT3 |= 이제 최종 3인이 남았습니다...
CookingFayreT4 |= 올해의 챔피언을 발표하게 되어 기쁘게 생각합니다...
CookingFayreT5 |= 여러분 모두 축하합니다. 오늘 우리가 목격한 음식의 향연은 정말 대단했습니다!
CookingFayreT6 |= 참석해주신 모든 분들께 감사드리며 내년에 다시 뵙기를 기대합니다!
BakeOff_Task |= 페스트필드 음식 축제
BakeOff_TaskDesc |= 올해 페스트필드 음식 축제의 주제는 <CompetitionTheme>이며, 오후 3시까지 이 주제에 맞는 아이템 3개를 대회 텐트에 배치하세요. 그런 다음 오후 3시에서 오후 8시 사이에 돌아와 이벤트 마스터와 대화하여 결과 발표식에 참여하세요.
FESTFIELD_FOOD_FESTIVAL |= 페스트필드 음식 축제
FestfieldFoodFestival |= 페스트필드 음식 축제
FestfieldFoodFestivalDesc |= 요리 축제에 참가하려면 오후 3시 전까지 페스트필드의 이벤트 마스터와 대화하세요.
AnnualCompetition_Name_BakeOff |= 페스트필드 음식 축제
AnnualCompetition_Date_BakeOff |= 여름의 12일째 날
AnnualCompetition_Location_BakeOff |= 페스트필드
Master of EventsBakeOff_Intro |= 호호! 올해의 페스트필드 음식 축제에 오신 것을 진심으로 환영합니다.
Master of EventsBakeOff_Intro |= 각 재능 있는 참가자는 가장 뛰어난 레시피 3가지를 선택해 여기 쿠션 위에 올려놓아야 합니다.
Master of EventsBakeOff_Intro |= 이 아이템은 별 등급과 다양성을 기준으로 심사하지만, 올해의 주제 기준에 반드시 부합해야 합니다. 그렇지 않으면 점수를 받지 못하며 모두에게 큰 실망을 안겨줄 것입니다!
Master of EventsBakeOff_Intro |= 대회 마감은 오늘 오후 3시이므로, 그 전에 꼭 돌아와 멋진 아이템을 전시해 주세요.
Master of EventsBakeOff_Intro |= 결과는 오후 3시 이후에 발표되지만, 저녁 식사는 오후 8시에 준비되니 그 전에 꼭 체크인하세요!
Master of EventsBakeOff_Intro |= 자, 더 이상 고민하지 마세요. 올해의 주제는...
Master of EventsBakeOff_Repeat |= 호호! 올해의 페스트필드 음식 축제에 오신 것을 진심으로 환영합니다.
Master of EventsBakeOff_Repeat |= 각 재능 있는 참가자는 가장 뛰어난 레시피 3가지를 선택해 여기 쿠션 위에 올려놓아야 합니다.
Master of EventsBakeOff_Repeat |= 이 아이템은 별 등급과 다양성을 기준으로 심사하지만, 올해의 주제 기준에 반드시 부합해야 합니다. 그렇지 않으면 점수를 받지 못하며 모두에게 큰 실망을 안겨줄 것입니다!
Master of EventsBakeOff_Repeat |= 대회 마감은 오늘 오후 3시이므로, 그 전에 꼭 돌아와 멋진 아이템을 전시해 주세요.
Master of EventsBakeOff_Repeat |= 결과는 오후 3시 이후에 발표되지만, 저녁 식사는 오후 8시에 준비되니 그 전에 꼭 체크인하세요!
Master of EventsBakeOff_Complete |= 축하합니다! 제시간에 출품작을 제출해 주셨어요, 호호! 심사가 완료되었으며, 결과를 발표하게 되어 기쁩니다!
Master of EventsBakeOff_NotEntered |= <PlayerName>, 올해 음식 축제에 참가하고 싶으시다면 서두르는 것이 좋을 것 같습니다. 참가 신청 마감은 오후 3시입니다. 그 후에 다시 돌아와서 결과를 확인하세요!
Master of EventsBakeOff_MissedDeadline |= 아, <PlayerName>. 참가 마감 시간이 오후 3시였기 때문에 이번 대회에 참가하지 못했습니다. 아무튼 다음에 다시 도전해 주세요. 잠재적인 우승자의 모습을 하고 있군요.
Master of EventsBakeOff_AwaitingDeadline |= <PlayerName>님의 출품작을 보고 있었습니다. 오후 3시 이후부터 오후 8시 이전에 다시 돌아와서 어떻게 되었는지 확인해 주세요.
VegetableShowT1 |= 올해 채소 전시회에 모두 모인 것 같군요.
VegetableShowT2 |= 올해도 멋진 채소들이 출품되었지만, 우승자는 단 한 명뿐입니다! 먼저 오늘의 준우승자를 소개합니다. 그들은...
VegetableShowT3 |= 이제 최종 3명이 남았습니다...
VegetableShowT4 |= 올해의 챔피언을 발표합니다...
VegetableShowT5 |= 여러분 모두 축하합니다! 성장하는 실력을 정말 멋지게 보여줬어요!
VegetableShowT6 |= 참석해주신 모든 분들께 감사드리며 내년에 다시 뵙기를 기대합니다!
VegetableShow_Task |= 채소 전시회
VegetableShow_TaskDesc |= 오후 3시까지 채소 3개를 대회 텐트에 배치하세요. 그런 다음 오후 3시에서 오후 8시 사이에 돌아와 이벤트 마스터와 대화하여 결과 발표식에 참여하세요.
VEGETABLE_SHOW |= 채소 전시회
VegetableShow |= 채소 전시회
VegetableShowDesc |= 오후 3시 전에 파인파이어의 이벤트 마스터에게 말을 걸어 채소 전시회에 입장하세요.
AnnualCompetition_Name_FishingComp |= 낚시 대회
AnnualCompetition_Date_FishingComp |= 겨울의 12일째 날
AnnualCompetition_Location_FishingComp |= 그레이마켓
AnnualCompetition_Name_VegetableShow |= 채소 전시회
AnnualCompetition_Date_VegetableShow |= 가을의 12일쨰 날
AnnualCompetition_Location_VegetableShow |= 파인페이어

Master of EventsVegetableShow_Intro |= 호호! 올해의 채소 전시회에 오신 것을 진심으로 환영합니다.
