CustomObject_Well_Name |= 우물
CustomObject_Well_Desc |= 담수원입니다. 아주 좋습니다.
CustomObject_Greenhouse_Name |= 온실
CustomObject_Greenhouse_Desc |= 이 훌륭한 구조로 일년 내내 작물을 재배할 수 있습니다. 별 등급 1개도 추가됩니다!
CustomObject_FarmPlot_Name |= 재배용 밭
CustomObject_FarmPlot_Desc |= 이 편리한 흙밭에 씨앗을 심으세요.
CustomObject_BeeHive_Name |= 벌집
CustomObject_BeeHive_Desc |= 꿀은 맛과 돈을 더한 것과 같습니다.
CustomObject_Bush_Nightberry_Name |= 나이트베리 덤불
CustomObject_Bush_Nightberry_Desc |= 이 양질의 덤불로 나이트베리를 직접 재배하세요.
CustomObject_Lantern_Right_Name |= 나무 가로등
CustomObject_Lantern_Right_Desc |= 가로등.
CustomObject_Tree_Apple_Name |= 사과나무
CustomObject_Tree_Apple_Desc |= 핵심! 이웃들이 부러워할 것입니다.
CustomObject_Tree_Pear_Name |= 배나무
CustomObject_Tree_Pear_Desc |= 단일 배나무. 두 개를 구입하면 한 쌍의 배를 얻을 수 있습니다.
CustomObject_Floor_LongGrass_Name |= 질감이 있는 잔디
CustomObject_Floor_LongGrass_Desc |= 슈퍼 잔디입니다.
CustomObject_Floor_DarkGrass_Name |= 어두운 잔디
CustomObject_Floor_DarkGrass_Desc |= 누군가가 당신의 정원에 잡초를 뽑은 것 같습니다.
CustomObject_Floor_Grass_Name |= 잔디 바닥
CustomObject_Floor_Grass_Desc |= 잔디 평원.
CustomObject_Wall_Stone_Name |= 돌벽
CustomObject_Wall_Stone_Desc |= 이 견고한 칸막이를 무시하지 마십시오.
CustomObject_Hanging_FV_A_Name |= 클래식 채소 초상화
CustomObject_Hanging_FV_A_Desc |= 티나 터닙의 야채 그림
CustomObject_Hanging_FV_B_Name |= 우아한 채소 초상화
CustomObject_Hanging_FV_B_Desc |= 파파 파스닙의 쉬고 있는 양파.
CustomObject_Hanging_FV_C_Name |= 클래식 채소 그림
CustomObject_Hanging_FV_C_Desc |= 아티 초크의 토마토 가족 초상화.
CustomObject_Hanging_FV_D_Name |= 우아한 채소 그림
CustomObject_Hanging_FV_D_Desc |= 야채의 결합, 처비 브로콜리 작.
CustomObject_Hanging_Art_A_Name |= 호기심 많은 어린이 미술
CustomObject_Hanging_Art_A_Desc |= 인간의 멸종, 티미 비프버거 작, 7세.
CustomObject_Hanging_Art_B_Name |= 귀여운 어린이 예술
CustomObject_Hanging_Art_B_Desc |= 어떤 왕국 또는 다른 왕국의 눈물, 미시 라비린스 작, 8세.
CustomObject_Hanging_Art_C_Name |= 유치한 낙서
CustomObject_Hanging_Art_C_Desc |= 존 도넛(36세)의 스크리블즈 왓 아이 디 던, 36세.
CustomObject_Hanging_Painting_A_Name |= 풍경화
CustomObject_Hanging_Painting_A_Desc |= 앤디 워홀의 물건 그림.
CustomObject_Hanging_Painting_B_Name |= 꽃 연구
CustomObject_Hanging_Painting_B_Desc |= Daff 'o' Dils, 빈센트 반 코프 작.
CustomObject_Hanging_Poster_Fish_Name |= 물고기 포스터
CustomObject_Hanging_Poster_Fish_Desc |= 수영장과 달, 살바도르 보리 작.
CustomObject_Hanging_Poster_Bakery_Name |= 베이커리 포스터
CustomObject_Hanging_Poster_Bakery_Desc |= 빵, 로스 밥스 작.
CustomObject_Hanging_Poster_Greengrocer_Name |= 청과물 가게 포스터
CustomObject_Hanging_Poster_Greengrocer_Desc |= 야수의 당근, 데미안 오멘 III 주니어 작.
CustomObject_Hanging_Poster_Exotic_Name |= 이국적인 포스터
CustomObject_Hanging_Poster_Exotic_Desc |= 봉크시의 엑조티카 에로티카.
CustomObject_Hanging_Poster_Herbalist_Name |= 약초학자 포스터
CustomObject_Hanging_Poster_Herbalist_Desc |= 지금 약재상인, 말론 브랜디 작.
CustomObject_Hanging_Jewellery_Name |= 보석 그림
CustomObject_Hanging_Jewellery_Desc |= 주얼리 포스터입니다. Unsigned.
CustomObject_Hanging_Poster_Potion_Name |= 물약 포스터
CustomObject_Hanging_Poster_Potion_Desc |= 레지 클레이블의 꽤 잘 인쇄된 포스터입니다.
CustomObject_Hanging_Poster_Tool_Name |= 도구 포스터
CustomObject_Hanging_Poster_Tool_Desc |= 도구와 갱단.
CustomObject_Hanging_Poster_Weapon_Name |= 무기 포스터
CustomObject_Hanging_Poster_Weapon_Desc |= 무기의 큰 그림.
CustomObject_Hanging_Candle_A_Name |= 벽 캔들
CustomObject_Hanging_Candle_A_Desc |= 여보, 불 좀 켜줘요.
CustomObject_Hanging_Gear_Swords_A_Name |= 네 개의 검 디스플레이
CustomObject_Hanging_Gear_Swords_A_Desc |= 뾰족한 검을 벽에 걸어요.
CustomObject_Hanging_Gear_Swords_B_Name |= 세 개의 검 디스플레이
CustomObject_Hanging_Gear_Swords_B_Desc |= 벽에 걸 뾰족한 검 몇 개 더입니다.
CustomObject_Hanging_Gear_Axes_A_Name |= 도끼 디스플레이
CustomObject_Hanging_Gear_Axes_A_Desc |= 벽을 위협적으로 보이게 하는 도끼 몇 개입니다.
CustomObject_Hanging_Gear_Axes_B_Name |= 멋진 도끼 디스플레이
CustomObject_Hanging_Gear_Axes_B_Desc |= 벽에 나무꾼 분위기를 내기 위한 도끼 몇 개입니다.
CustomObject_Hanging_Gear_Axes_C_Name |= 도끼와 반지 디스플레이
CustomObject_Hanging_Gear_Axes_C_Desc |= 자르세요! 이 도끼는 벽에 걸면 정말 멋져요.
CustomObject_Hanging_Gear_Utensils_A_Name |= 식기 디스플레이
CustomObject_Hanging_Gear_Utensils_A_Desc |= 식기를 좋아하는 손님을 맞이할 수 있는 몇 가지 식기.
CustomObject_Hanging_Decoration_Jewellery_Name |= 장신구 디스플레이
CustomObject_Hanging_Decoration_Jewellery_Desc |= 진짜 보석은 아니지만 예쁘게 보입니다.
CustomObject_Trellis_A_Name |= 예쁜 트렐리스
CustomObject_Trellis_A_Desc |= 사랑스러운 나무 와플입니다.
CustomObject_Trellis_B_Name |= 큰 트렐리스
CustomObject_Trellis_B_Desc |= 정말 거대한 와플처럼 생겼습니다.
