GS_ShortMoveOn |= 아냐..
GS_PriceLow |= 우, 정말 저렴해 보이네요.
GS_PriceLow |= 좋은 가격입니다!
GS_PriceLow |= 할인이 가득합니다!
GS_PriceLow |= 예쁘네요.
GS_PriceLow |= 멋진 물건들.
GS_PriceLow |= 흥미로운 아이템들!
GS_PriceLow |= 마음에 들어요.
GS_PriceHigh |= 저 가격 좀 보세요! 터무니없어요!
GS_PriceHigh |= 찢어버려.
GS_PriceHigh |= 으으악.
GS_PriceHigh |= 끔찍한 가게.
GS_PriceHigh |= 재고가 나쁩니다.
GS_PriceHigh |= 꽤 가난합니다.
GS_PriceHigh |= 다른 곳에서 쇼핑할 것 같아요.
GS_PriceHigh |= 실망스럽습니다.
GS_PriceAlright |= 그럴지도 모르죠.
GS_PriceAlright |= 흠.
GS_PriceAlright |= 그래.
GS_PriceAlright |= 여긴 괜찮아.
GS_PriceAlright |= 더 기대했는데.
GS_PriceAlright |= 가격도 괜찮아요.
GS_PriceAlright |= 괜찮은데.
GS_PriceAlright |= 괜찮아 보인다.
GS_PriceAlright |= 너무 초라하지 않습니다.
GS_PriceAlright |= 그냥 보고 있었어요.
GS_PriceAlright |= 크게 흥미로운 것은 보지 못했습니다.
GS_NotMyKindOfThing |= 평소에는 받을 수 없는 일인데...
GS_ItemChangedLeaveQueue |= 음, 제가 찾던 게 없네요.
GS_ItemNoneLeft |= 아, 하나도 안 남았네요.
GS_IWantThis |= 이걸 원해요.
GS_IWantThis |= 꼭 사야 해.
GS_IWantThis |= 내가 원하던 바로 그거였어.
GS_IWantThis |= 내가 항상 원했던 바로 그거.
GS_IWantThis |= 이게 필요해.
GS_IWantThis |= 예! 재고가 있습니다!
GS_IWantThis |= 정말 갖고 싶어요.
GS_IWantThis |= 이걸로 할게요.
GS_IWantThis |= 이걸로 할게요.
GS_IWantThis |= 이걸로 할게요.
GS_IWantThis |= 이걸 사는 게 낫겠어.
GS_IWantThis |= 이거 살래요
GS_IWantThis |= 이걸로 할게요.
GS_IWantThis |= 유용할 겁니다.
GS_NothingToBuy |= 안이 꽤 비어있는 것 같네요.
GS_NothingToBuy |= 안이 좀 텅 비었네요.
GS_NothingToBuy |= 재고는 어딨어?
GS_NothingIWant |= 원하는 게 없으면 안 남을 거예요!
GS_NoneLeft |= 아, 하나도 안 남았네요.
GS_CutePet |= 아, 정말 귀여운 애완동물이네요. 언젠가는...
GS_SickPet |= 으웩, 아무것도 안 걸렸으면 좋겠네요.
GS_ThanksPositive |= 만세!
GS_ThanksPositive |= 항상 원하던 거였어요.
GS_ThanksPositive |= 맘에 들어요.
GS_ThanksPositive |= 싸게 샀네
GS_ThanksPositive |= 멋지네요.
GS_ThanksPositive |= 매우 만족합니다.
GS_ThanksPositive |= 이걸로 만족합니다.
GS_ThanksPositive |= 좋아요!
GS_ThanksPositive |= 추천합니다.
GS_ThanksPositive |= 보글 리뷰를 남기겠습니다.
GS_ThanksPositive |= 훌륭해요.
GS_ThanksPositive |= 훌륭한 구매입니다!
GS_ThanksPositive |= 아주 좋아요!
GS_ThanksNeutral |= 감사합니다.
GS_ThanksNeutral |= 알겠습니다.
GS_ThanksNeutral |= 고마워요
GS_ThanksNeutral |= 안녕히 가세요.
GS_ThanksNeutral |= 그거면 됐어.
GS_ThanksNeutral |= 괜찮아.
GS_ThanksNeutral |= 괜찮을 거야.
GS_ThanksNegative |= 만족스럽지 않아!
GS_ThanksNegative |= 바가지 요금이 좀 심하네요.
GS_ThanksNegative |= 기대했던 것만큼 좋지 않습니다.
GS_ThanksNegative |= 나쁜 보글 리뷰가 수신 중입니다.
GS_ThanksNegative |= 불만족.
GS_ThanksNegative |= 흐으으음!
GS_ThanksNegative |= 쓰레기!
GS_ThanksNegative |= 더 잘해야 합니다.
GS_PriceNever |= 그 정도는 절대 지불하지 않을 겁니다.
GS_GOINSIDE |= 오, 뭘 가지고 있는지 궁금하네요.
GS_GOINSIDE |= 재밌어 보이네.
GS_GOINSIDE |= 들어가 봐야겠어
GS_GOINSIDE |= 저게 뭐지?
GS_GOINSIDE |= 좋은 물건들이 있네.
GS_GOINSIDE |= 뭔가 사야 할 것 같아.
GS_GOINSIDE |= 멋지다!
GS_GOINSIDE |= 멋진 물건들.
GS_GOINSIDE |= 디스플레이가 멋지네요.
GS_GOINSIDE |= 항상 저런 걸 갖고 싶었어요.
GS_GOINSIDE |= 그냥 둘러보는 거예요.
GS_GOINSIDE |= 잠깐 들여다보는 건 나쁘지 않아요.
GS_GOINSIDE |= 그냥 보는 거야.
GS_GOINSIDE |= 구경하는 거지.
GS_GOINSIDE |= 흠
GS_GOINSIDE |= 좋은 게 있는지 궁금해.
GS_GOINSIDE |= 잠깐만 봐요.
GS_GOINSIDE |= 흠, 뭐가 보이죠?
GS_STAYOUTSIDE |= 창문이 더러워요!
GS_STAYOUTSIDE |= 저 안에는 아무것도 없어.
GS_STAYOUTSIDE |= 위험해 보이는데.
GS_STAYOUTSIDE |= 칵! 퉷!
GS_STAYOUTSIDE |= 아무것도 없어.
GS_STAYOUTSIDE |= 안 좋아 보이는데.
GS_STAYOUTSIDE |= 재미없어.
GS_STAYOUTSIDE |= 더 좋을 수도 있어.
GS_STAYOUTSIDE |= 쓰레기더미네.
GS_STAYOUTSIDE |= 정말 쓰레기네요.
GS_STAYOUTSIDE |= 사기꾼이네.
GS_AWAITING_SERVICE |= 물물교환을 찾고 있습니다.
GS_AWAITING_SERVICE |= 흥정할 준비가 되셨나요?
GS_AWAITING_SERVICE |= 흥정해 봅시다.
GS_AWAITING_SERVICE |= 가격을 논의해 봅시다.
GS_AWAITING_SERVICE |= 흥정할까요?
GS_AWAITING_SERVICE_NO_BARTER |= 구매해도 되나요?
GS_TRADE_AWAITING_SERVICE |= 거래하고 싶어요.
GS_TRADE_AWAITING_SERVICE |= 판매할 물건이 있습니다.
GS_TRADE_AWAITING_SERVICE |= 이걸 사고 싶으세요?
GS_TRADE_AWAITING_SERVICE |= 이걸 사주실래요?
GS_TRADE_AWAITING_SERVICE |= 여기... 이것 좀 보세요.
GS_TRADE_AWAITING_SERVICE |= 소믈리에가 있어요.
GS_TRADE_AWAITING_SERVICE |= 이걸 살래요?
GS_LOOK_AT_FISH |= 신선한가요?
GS_LOOK_AT_FISH |= 우 생선.
GS_LOOK_AT_FISH |= 흠, 생선을 좀 사야 할까요?
GS_LOOK_AT_FISH |= 생선을 팔고 있네요.
GS_LOOK_AT_FISH |= 살까요? 머리, 꼬리?
GS_LOOK_AT_FISH |= 뭔가 수상한데요.
GS_LOOK_AT_FISH |= 대문짝넙치 있나요?
GS_LOOK_AT_FISH |= 냄새나!
GS_LOOK_AT_WEAPON |= 위험해 보이는데요.
GS_LOOK_AT_WEAPON |= 유용할 수도 있겠네요.
GS_LOOK_AT_WEAPON |= 보기 좋은데?
GS_LOOK_AT_WEAPON |= 날카로워 보여요!
GS_LOOK_AT_WEAPON |= 저게 정말 필요한가요?
GS_LOOK_AT_WEAPON |= 그냥 보여주기 위해서야.
GS_LOOK_AT_WEAPON |= 괴물들 조심해!
GS_LOOK_AT_WEAPON |= 날렵하네.
GS_LOOK_AT_WEAPON |= 날렵해 보여.
GS_LOOK_AT_BOOK |= 흥미로워 보이네요.
GS_LOOK_AT_BOOK |= 등골이 오싹하네요.
GS_LOOK_AT_BOOK |= 멋진 페이지 모음입니다.
GS_LOOK_AT_BOOK |= 글쓰기 책도 사야겠어요.
GS_LOOK_AT_BOOK |= 새 책으로 할 수 있습니다.
GS_LOOK_AT_BOOK |= 내가 읽을 수만 있다면.
GS_LOOK_AT_BOOK |= 퀴퀴한 냄새가 나네.
GS_LOOK_AT_BOOK |= 구매 표시를 할게요.
GS_LOOK_AT_BOOK |= 날 위해!
GS_LOOK_AT_BOOK |= 오, 초판본이네.
GS_LOOK_AT_TOOL |= 좋은 도구네요.
GS_LOOK_AT_TOOL |= 유용해 보이네요.
GS_LOOK_AT_TOOL |= 도구가 정말 많네요.
GS_LOOK_AT_TOOL |= 쓸만하네.
GS_LOOK_AT_TOOL |= 새로 사야 할까요?
GS_LOOK_AT_ITEM |= 흥미롭네...
GS_LOOK_AT_ITEM |= 유용할까?
