FNF_CIRCLE_SOUTH_BRIDGE_NAME |= 서클 동쪽 다리
FNF_CRYPT_REPAIR_NAME |= 묘지 지하실
FNF_DROWNHILL_BRIDGE_NAME |= 드라운힐 다리
FNF_FESTIVAL_GREEN_STALL_1_NAME |= 페스티벌 그린 가판대 1
FNF_FESTIVAL_GREEN_STALL_2_NAME |= 페스티벌 그린 가판대 2
FNF_FINE_FAYRE_STALL_1_NAME |= 파인페이어 가판대 1
FNF_FINE_FAYRE_STALL_2_NAME |= 파인페이어 가판대 2
FNF_FIX_COW_SHED_NAME |= 슈 외양간
FNF_FIX_MOSSWHISPER_BRIDGE_NAME |= 모스위스퍼 다리
FNF_FIX_BLOCKAGE_NAME |= 교활한 땅 차단
FNF_FIX_GREENHOUSE_1_NAME |= 마쉬티트의 온실 1
FNF_FIX_GREENHOUSE_2_NAME |= 마쉬티트의 온실 2
FNF_FIX_GREENHOUSE_3_NAME |= 마쉬티트의 온실 3
FNF_FIX_GREENHOUSE_4_NAME |= 마쉬티트의 온실 4
FNF_FREYL_WINDMILL_NAME |= 프라일의 들판 풍차
FNF_GODDESS_STATUE_RIVERMOOR_NAME |= 리버무어 여신상
FNF_GODDESS_STATUE_SHINGLES_NAME |= 슁글스 여신상
FNF_GODDESS_STATUE_STONECROWN_NAME |= 스톤크라운 여신상
FNF_REPAIR_BAD_MANOR_NAME |= 나쁜 저택
FNF_REPAIR_BEULAH_NAME |= 비울라
FNF_REPAIR_BRIDGE_THE_CIRCLE_NAME |= 서클 북쪽 다리
FNF_REPAIR_CIDER_RULES_HOUSE_NAME |= 사이다 룰스 주택
FNF_REPAIR_COMPLAINT_HOUSE_NAME |= 투덜거림 오두막
FNF_REPAIR_CUCKOO_CABIN_NAME |= 뻐꾹 오두막집
FNF_REPAIR_FISHSLAP_HOUSE_NAME |= 피쉬슬랩 하우스
FNF_REPAIR_HARMONY_HOUSE_NAME |= 하모니 주택
FNF_REPAIR_HISTORY_HOUSE_NAME |= 역사 주택
FNF_REPAIR_HOUSE_OF_VISION_NAME |= 비전의 집
FNF_REPAIR_KEEPERS_COTTAGE_NAME |= 관리인의 오두막
FNF_REPAIR_KOOKY_BURROWS_NAME |= 쿠키 굴
FNF_REPAIR_PEBBLEY_MILL_NAME |= 페블리 방앗간
FNF_REPAIR_RUFENFLAW_NAME |= 루펜플로프
FNF_REPAIR_SHAME_MEADOWS_NAME |= 셰임 메도우즈
FNF_REPAIR_SPOUTALOT_NAME |= 스파우트알롯
FNF_REPAIR_THE_BOILER_NAME |= 보일러 주택
FNF_REPAIR_THE_LOVE_SHACK_NAME |= 러브 쉑
FNF_REPAIR_THE_OLDE_SMOKE_HOUSE_NAME |= 올드 스모크 주택
FNF_REPAIR_STAGE_NAME |= 페스트필드 무대
FNF_TG_STATUE_NAME |= 윙윙 정원 동상
FNF_WF_WINDMILL_NAME |= 윌로우다운 풍차
FNF_TNN_GREENHOUSE_NAME |= 요정 온실
FNF_EVER_GREENHOUSE_NAME |= 에버그린하우스

FNF_ALTER_NAME |= 제단
FNF_CHICKEN_COOP_NAME |= 닭장
FNF_COW_COMPOSTER_NAME |= 돼지 퇴비통
FNF_SHEEP_COMPOSTER_NAME |= 양 퇴비통
FNF_COW_SHED_NAME |= 외양간
FNF_GREENHOUSE_NAME |= 온실
FNF_PIG_PEN_NAME |= 돼지 우리
FNF_SHEEP_PEN_NAME |= 양 우리
FNF_TOOLSHED_NAME |= 도구 창고

FNFCONVERSATION_HOUSE_1 |= 큰 진전을 이루고 있어! 이제 벽난로가 모두 청소되어 안전해졌어!
FNFCONVERSATION_HOUSE_1 |= 응, 그리고 모든 황동 설비를 닦았어. 이 사랑스러운 집에 더 이상 변색은 없을 거야!

FNFCONVERSATION_HOUSE_2 |= 여신님들, 저희는 꽤나 DIY를 잘하는 팀이에요!
