UI_Chat_WhatsHappening_Spouse_GARDEN |= 그냥 잡초를 조금 뽑는 중이야.
UI_Chat_WhatsHappening_Spouse_GARDEN |= 보기 좋아지라고 정원을 조금 가꾸고 있어.
UI_Chat_WhatsHappening_Spouse_GARDEN |= 정원 정리 좀 해야겠어. 우리 집 브라우니는 정원을 별로 중요하게 생각하지 않는 모양이야. 사실 그렇긴 하지.
UI_Chat_WhatsHappening_Spouse_GARDEN |= 정원 관리하기 좋은 날씨야, 깔끔한 정원 없는 우리 부부의 집은 아무것도 아니라고 할 수 있지.

UI_Chat_WhatsHappening_Spouse_FARMING |= 네가 작물을 돌보라고 해서, 책임감을 조금 느끼고 있는 중이야.
UI_Chat_WhatsHappening_Spouse_FARMING |= 농사를 짓는 중이야. 사랑하는 사람을 대하는 것처럼, 흙에도 관심이 필요해.
UI_Chat_WhatsHappening_Spouse_FARMING |= 흙 속에서 일하고 있어. 작물 밭을 훌륭하게 유지해야하거든.
UI_Chat_WhatsHappening_Spouse_FARMING |= 열심히 작물을 수확하고 토지를 가꾸기. 그게 바로 농장에서 하는 일이야. 그 과정들이 바로 우리의 저녁상이 되는 거지.

UI_Chat_WhatsHappening_Spouse_COOK |= 나는 요리를 조금 즐기는 편이야. 냄새를 좋아해. 집이 아늑하게 느껴지잖아.
UI_Chat_WhatsHappening_Spouse_COOK |= 꾸르륵거리는 배를 위해 요리를 준비하고있어.
UI_Chat_WhatsHappening_Spouse_COOK |= 맛있는 간식을 만들고 있어.
UI_Chat_WhatsHappening_Spouse_COOK |= 음식이나 손가락을 태우지 않으려고 노력중이야.

UI_Chat_WhatsHappening_Spouse_PETS |= 동물들을 분류하고 있어. 누군가는 해야지!
UI_Chat_WhatsHappening_Spouse_PETS |= 애완동물을 돌보고 있어. 사랑스러워!
UI_Chat_WhatsHappening_Spouse_PETS |= 동물을 돌봐야해. 동물들은 스스에게 먹이 줄 수가 없어! 그치만, 동물들은 먹을 수 있고 먹히기도 하지.
UI_Chat_WhatsHappening_Spouse_PETS |= 그냥 애완동물을 손질하고 사랑해주는 중이야. 운이 좋은 녀석들이지.

UI_Chat_WhatsHappening_Spouse_OFFERING |= 우리 집이 평안하고 복되게 지낼 수 있도록 제물을 바치는 중이야.
UI_Chat_WhatsHappening_Spouse_OFFERING |= 예배시간. 우리가 사랑하는 여신들의 정신을 묵상하고 포용하고 싶어.
UI_Chat_WhatsHappening_Spouse_OFFERING |= 지금 예배를 드리고 있어. 초월적 조화를 방해하지 말아줘.
UI_Chat_WhatsHappening_Spouse_OFFERING |= 브라우니가 내 슬리퍼에 개미를 넣지 못하도록 이 그릇에 좋은 것을 채우고 있었어.

UI_Chat_WhatsHappening_Spouse_EAT |= 식사중인데 당신이 괜찮다면 기다려줘. 입 안에 잔뜩 넣은 채 말하는 건 실례잖아.
UI_Chat_WhatsHappening_Spouse_EAT |= 그냥 배가 고파서 밥 좀 먹고 있어.
UI_Chat_WhatsHappening_Spouse_EAT |= 나는 그저 당신의 선한 자아와 여신께서 우리에게 주신 이 맛있는 음식을 먹고 있는 중이야.
