FAMILYVISIT_GENERAL |= 장식이 마음에 들어.
FAMILYVISIT_GENERAL |= 멋진 장식이네.
FAMILYVISIT_GENERAL |= 아, 돌아오니 좋네.
FAMILYVISIT_GENERAL |= 추억이 떠오르네.
FAMILYVISIT_GENERAL |= 여기 오니 좋아.
FAMILYVISIT_GENERAL |= 찾아온 것에 불편함이 없으면 좋겠어.
FAMILYVISIT_GENERAL |= 그 곳을 다시 보니 반갑네.
FAMILYVISIT_GENERAL |= 다시 만나서 반가워.
FAMILYVISIT_GENERAL |= 아아, 추억이네.
FAMILYVISIT_GENERAL |= 어떻게 지냈어?
FAMILYVISIT_GENERAL |= 항상 이곳의 공기가 좋았어.
FAMILYVISIT_GENERAL |= 여기 있는 게 그리워.
FAMILYVISIT_GENERAL |= 보고 싶었어.
FAMILYVISIT_GENERAL |= 다시 올 수 있기를 바라.
FAMILYVISIT_GENERAL |= 만나서 반가웠어.
FAMILYVISIT_GENERAL |= 아, 여기 정말 좋아.
FAMILYVISIT_GENERAL |= 방문하게 해주어서 고마워.
FAMILYVISIT_GENERAL |= 너와 농장을 만나서 반가워.

FAMILYVISIT_KYNSEED_TREE |= 저 나무는 아름답네.
FAMILYVISIT_KYNSEED_TREE |= 잘 자라고 있어!
FAMILYVISIT_KYNSEED_TREE |= 뿌리가 아주 깊겠는데.
FAMILYVISIT_KYNSEED_TREE |= 색감이 마음에 들어.
FAMILYVISIT_KYNSEED_TREE |= 이런 단풍잎!
FAMILYVISIT_KYNSEED_TREE |= 씨앗이 자라고...
FAMILYVISIT_KYNSEED_TREE |= 아름다운 가족 나무야.

FAMILYVISIT_JETTY |= 이곳이 마음에 들어.
FAMILYVISIT_JETTY |= 라벤더 향이 정말 좋아.
FAMILYVISIT_JETTY |= 여기서 자곤 했어?
FAMILYVISIT_JETTY |= 정말 편안한 강이네.
FAMILYVISIT_JETTY |= 풍차를 좋아해.

FAMILYVISIT_HENGE |= 항상 소름끼치네.
FAMILYVISIT_HENGE |= 무슨 속삭임이지?
FAMILYVISIT_HENGE |= 마음에 안 들어.
FAMILYVISIT_HENGE |= 뭔가 본 게 분명해.

FAMILYVISIT_POND |= 여전히 물고기가 가득하구나.
FAMILYVISIT_POND |= 난 항상 이 연못을 좋아했어.
FAMILYVISIT_POND |= 내가 제일 좋아하는 연못.
FAMILYVISIT_POND |= 물고기를 보던 추억이 떠올라.

FAMILYVISIT_TWIG_BRIDGE |= 트위그가 아직 있어?
FAMILYVISIT_TWIG_BRIDGE |= 항상 구석을 좋아했어.
FAMILYVISIT_TWIG_BRIDGE |= 좋은 옛날 트위그.
FAMILYVISIT_TWIG_BRIDGE |= 언젠가 낚시를 배워야겠어.
FAMILYVISIT_TWIG_BRIDGE |= 구석진 곳에 조용히 있어.

FAMILYVISIT_MINE |= 저기 들어가 봤어?
FAMILYVISIT_MINE |= 난 어두운 곳은 별로 안 좋아해.
FAMILYVISIT_MINE |= 방금 노크하는 소리가 들렸어.
FAMILYVISIT_MINE |= 난 안 들어갈거야.

FAMILYVISIT_OBJECT |= 우와! {OBJECT_NAME}을(를) 가지고 있구나.
FAMILYVISIT_OBJECT |= {OBJECT_NAME}이 마음에 들어.
FAMILYVISIT_OBJECT |= 오! {OBJECT_NAME}!
FAMILYVISIT_OBJECT |= {OBJECT_NAME}(이)가 있구나.
FAMILYVISIT_OBJECT |= {OBJECT_NAME}(이)가 비싸?
FAMILYVISIT_OBJECT |= 그 {OBJECT_NAME}은 실제로 농장을 하나로 묶어주지.
FAMILYVISIT_OBJECT |= {OBJECT_NAME}(이)가 좋네.
FAMILYVISIT_OBJECT |= 아! {OBJECT_NAME}이구나.
FAMILYVISIT_OBJECT |= 언젠가 우리 집에도 {OBJECT_NAME}을(를) 갖고 싶어.

FAMILYVISIT_HOW_ARE_YOU |= 안녕, 고마워. 이곳에 돌아와서 추억을 되새기니 좋네. 이곳이 그리워.
FAMILYVISIT_HOW_ARE_YOU |= 예전보다 나아졌지만 이곳에 오니 신선한 공기를 마시는 것 같아. 항상 좋은 냄새가 났어.
FAMILYVISIT_HOW_ARE_YOU |= 잘 지내고 있어, 물어봐 주어서 고마워. 큰 거미가 있지만 새 집이 마음에 들어. 마루판이 삐걱거리긴 하지만 불평할 수는 없지.
FAMILYVISIT_HOW_ARE_YOU |= 잘 지내고 있어, 고마워. 너와 농장을 만나서 항상 반가워. 원래 누가 지은 건지 궁금해. 정말 크잖아. 더 멋지게 꾸밀 수 있을까? 어쨌든, 그 나무들을 다시 보니 좋아.
FAMILYVISIT_HOW_ARE_YOU |= 잘 지내고 있어! 이곳에 오는 것은 향수를 불러일으키기에 좋지만, 나는 지금 나만의 공간에서 새로운 추억을 만들고 있어.
FAMILYVISIT_HOW_ARE_YOU |= 멋지다, 고마워! 이곳을 방문하니 마음이 안정되네. 집에서는 바쁘게 지내다 보니 다리를 뻗고 내가 소중히 여기는 곳에서 시간을 보내서 좋아.
FAMILYVISIT_HOW_ARE_YOU |= 잘 왔어! 우리 집에는 장난꾸러기 브루니가 있는데 장난을 좋아해. 그래도 먼지를 줄이고 정원을 깔끔하게 유지해야지.
FAMILYVISIT_HOW_ARE_YOU |= 잘 지내고 있어. 다시 돌아와서 방문할 수 있어서 좋아. 가끔은 여기 살지 않는 게 그리울 때도 있어.
FAMILYVISIT_HOW_ARE_YOU |= 농장으로 돌아와서 추억의 길을 걷는 것이 즐거워. 포트가 여전히 별다른 활동을 하지 않는 것 같네. 포트가 귀찮데?
FAMILYVISIT_HOW_ARE_YOU |= 여기 살던 시절이 엊그제 같은데 시간이 어떻게 지나갔는지 생각하니 눈물이 나.
FAMILYVISIT_HOW_ARE_YOU |= 킨씨드 나무를 보고 지나간 날들과 친구들, 애완동물들이 생각나기 전까지는 괜찮았어. 약간 흔들리긴 하지만 괜찮아!
FAMILYVISIT_HOW_ARE_YOU |= 윌로우다운 농장으로 돌아가는 게 너무 즐거워. 행복한 추억이 가득하길 바라.
FAMILYVISIT_HOW_ARE_YOU |= 조금 슬퍼. 이곳에서의 생활이 그리워. 하지만 인생은 계속 흘러가지. 우리는 성장하고 헤어지지만 이곳은 항상 우리를 연결해줄 거야. 결국 우리는 가족이니까.

FAMILYVISIT_WHATS_HAPPENING |= 아름다운 농장의 풍경과 냄새를 즐기고 있어. 하지만 진짜 윌로우 나무가 어디에 있는지 항상 궁금했어.
FAMILYVISIT_WHATS_HAPPENING |= 그냥 하루를 보내고 있어. 벽이 가끔씩 닫히니까 산책하며 새로운 풍경을 보는 것은 몸과 마음, 영혼에 좋은 일이야.
FAMILYVISIT_WHATS_HAPPENING |= 잠시 휴식을 취하고 오랜 친구들을 만나기 위해 떠나는 중이야.
FAMILYVISIT_WHATS_HAPPENING |= 이곳을 방문한 다음 다른 오랜 친구들을 만나러 떠나려고. 쇼핑을 할 수도 있겠지.
FAMILYVISIT_WHATS_HAPPENING |= 건강한 산책으로 활력을 되찾고 있어. 하지만 어두운 그림자와 바스락거리는 덤불은 피하려고!
FAMILYVISIT_WHATS_HAPPENING |= 향수에 젖어 예전에 살던 곳을 방문하기로 결정했어. 내가 유령이나 뭐 그런 건 아니지만.
FAMILYVISIT_WHATS_HAPPENING |= 무슨 일이 일어나고 있는거야? 음, 행복한 산책과 소중한 사람들을 방문하는 것이 오늘의 할일이야.
FAMILYVISIT_WHATS_HAPPENING |= 내가 좋아하는 무를 몇 달 전에 어디에 두고 왔는지 궁금해.
FAMILYVISIT_WHATS_HAPPENING |= 내 집을 어떻게 꾸밀지 영감을 얻고 싶어.
FAMILYVISIT_WHATS_HAPPENING |= 방금 전에 살던 강에서 연어를 본 것 같아.
FAMILYVISIT_WHATS_HAPPENING |= 옛 장소를 돌아다니다가 허바드를 만나러 가서 토닥여줄까봐.
FAMILYVISIT_WHATS_HAPPENING |= 농장을 둘러보며 향수를 불러일으킨 다음 마을로 가서 선술집 무대에서 새로운 공연이 있는지 살펴볼 거야.
FAMILYVISIT_WHATS_HAPPENING |= 내가 예전에 좋아하던 벌을 찾고 있어. 아직 살아있을까?

