Greeting |= 뭐해!
Greeting |= 안녕!
Greeting |= 잘 지내?
GreetingFriendly |= 안녕~!
GreetingPott |= 응?
GreetingUnfriendly |= 원하는게 뭐야?
GreetingRunning |= 우와... 천천히 가!
Targeted |= 안녕.
TargetedPott |= 원하는 것이 있어?
ToiletNoise |= <anim_wave>*Parp*
ToiletNoise |= <anim_wave>*Toot*
ToiletNoise |= <anim_wave>*Barooom*
ToiletNoise |= <anim_wave>*Frrrp*
ToiletNoise |= <anim_wave>*Honk*
MarketSeller |= 여기서 상품을 구매하세요!
MarketSeller |= 신성한 상품이 여기 있습니다!
SalesPitch |= 너에게 필요한 걸 가지고 있지.
PatientNoTalk |= 왜 나한테 말을 안 해?!
OccupiedLoo |= 사용중!
OccupiedLoo |= 어이! 저리 가!
OccupiedLoo |= 한 번에 하나씩.
OccupiedLoo |= 이 화장실은 우리 둘이 쓰기에 충분하지 않아.
OccupiedLoo |= 나는 지금 기분이 좋지 않아.
OccupiedLoo |= 벌써 잡혔어!
OccupiedLoo |= 나중에 다시 와. 나라면 아주 나중에 올거야.
OccupiedLoo |= 오 나의 여신이시여! 내가 뭘 먹은거야?!
OccupiedLoo |= 냐르르르르르-가라.
OccupiedLoo |= 나뭇잎 한 장이나 열 장만 줄 수 있어?
OccupiedLoo |= 지금은... 말할... 수 없어.
OccupiedLoo |= 야! 난 여기있어!
BabyTalk |= 움마!
BabyTalk |= 아바바바바바!
BabyTalk |= 응아!
BabyTalk |= 움냠.
BabyTalk |= Squee!
BabyTalk |= Gurgle.
BabyTalk |= Mweeeee!
BabyTalk |= Laaayyy-deee-gagagoogoo.
BabyTalk |= 구우우?
BabyTalk |= Inkypinkyblinky.
BabyTalk |= Wobbaflobbadob.
BabyTalk |= 우우우우우!
BabyTalk |= Heeeeeeeeheeeeeeee.
BabyTalk |= Flubbleblubbletwup.
BabyTalk |= Agagagagaga.
BabyTalk |= Fud! Fud!
BabyTalk |= Milkywahwah.
BabyTalk |= Jibble?
BabyTalk |= Squoggle.
BabyTalk |= Meee beeepeee nu nu.
BabyTalk |= Frb.
BabyTalk |= 힉!
BabyTalk |= 코오오오오오오!
BabyTalk |= Nyuurrrr.
BabyTalk |= GLORRRP.
BabyTalk |= Slurrrrp.
BabyTalk |= Bop bap bloop.
BabyTalk |= BEEEP.
BabyTalk |= Wiwiwowow.
BabyTalk |= Giggliboop puh.
BabyTalk |= Blehhhh.
BabyTalk |= BURP.
BabyTalk |= 아부?
BabyTalk |= 머마마마.
BabyTalk |= 위이이이이이이이이이이이이이!
BabyTalk |= 오오오후우우우!
BabyTalkPlay |= 코오오오!

