Symptom0NPCCommentFood Poisoning |= 병든 개처럼 아파.
Symptom0NPCCommentFood Poisoning |= 내 뱃속에 재버워키가 있어.
Symptom0NPCCommentFood Poisoning |= 금방이라도 벽을 장식할 것 같아.
Symptom1NPCCommentFood Poisoning |= 배가 아파.
Symptom1NPCCommentFood Poisoning |= 배가 아파요.
Symptom1NPCCommentFood Poisoning |= 배에 통증이 심해.
SymptomNameFood Poisoning |= 식중독
SymptomNameBurn |= 불타다
SymptomNameBody Odor |= 체취
Symptom0NPCCommentBody Odor |= 사람들이 나를 외면해.
Symptom0NPCCommentBody Odor |= 아무도 나와 대화하려고 하지 않아.
Symptom0NPCCommentBody Odor |= 사람들이 나에게 코를 들이대.
Symptom1NPCCommentBody Odor |= 나는 냄새가 나.
Symptom1NPCCommentBody Odor |= 겨드랑이에서 퇴비 냄새가 나.
Symptom1NPCCommentBody Odor |= 나는 빌어먹을 끔찍한 냄새가 나.
SymptomNameApathy |= 무감각
Symptom0NPCCommentApathy |= 지루함의 벽을 깨고 싶어.
Symptom0NPCCommentApathy |= 내 마음은 회색 수렁에 갇혀 있어.
Symptom0NPCCommentApathy |= 말하기 귀찮아.
Symptom1NPCCommentApathy |= 냄새 맡는 것도 귀찮아.
Symptom1NPCCommentApathy |= 몸과 마음에서 아무것도 느껴지지 않아.
Symptom1NPCCommentApathy |= 무기력의 악취가 나를 뒤덮고있어.
SymptomNameMelancholy |= 우울
Symptom0NPCCommentMelancholy |= 지루함에서 벗어나고 싶어.
Symptom0NPCCommentMelancholy |= 정말 말하기가 귀찮아.
Symptom0NPCCommentMelancholy |= 뇌가 구석에 앉아 울고 있어.
Symptom1NPCCommentMelancholy |= 나는 긍정의 반대를 느껴.
Symptom1NPCCommentMelancholy |= 나는 당신이 나를 치료할 것이라고 생각하지 않아.
Symptom1NPCCommentMelancholy |= 베개보다 더 우울한 기분이 들어.
SymptomNameStrained |= 긴장
Symptom0NPCCommentStrained |= 힘이 전혀 없어.
Symptom0NPCCommentStrained |= 압박감으로 인해 기운이 전혀 남지 않았어.
Symptom0NPCCommentStrained |= 내가 갈 곳이 없어졌어.
Symptom1NPCCommentStrained |= 스트레스가 나를 약하게 만들었지.
Symptom1NPCCommentStrained |= 긴장으로 인해 손가락 하나 까딱할 수 없어.
Symptom1NPCCommentStrained |= 스트레스가 나를 약하게 만들었어.
SymptomNameWound |= 상처
Symptom0NPCCommentWound |= 피를 토하는 것 같아.
Symptom0NPCCommentWound |= 깊은 상처가 있어.
Symptom0NPCCommentWound |= 몬스터를 찌르면서 상처가 났어.
SymptomNameNight Terrors |= 밤의 공포
SymptomNameConstipation |= 변비
SymptomNameFracture |= 골절
SymptomNamePossessed |= 홀림
SymptomNameSilenced |= 침묵
SymptomNameMonster Gash |= 몬스터 상처
SymptomNameBee Hair |= 꿀벌 털
Symptom1NPCCommentBee Hair |= 시끄러워서 잠을 잘 수가 없어.
Symptom1NPCCommentBee Hair |= 윙윙거리는 소리가 잠을 깨워.
Symptom1NPCCommentBee Hair |= 윙윙 소리 때문에 밤잠을 설쳐.
SymptomNameCurse Trumpeting |= 저주받은 트럼펫 연주
SymptomNameBucolic Plague |= 목가적 전염병
SymptomNameDamp Spirits |= 축축한 영혼
SymptomNameGoosebumps |= 소름끼침
SymptomNameBubble Bobblehat |= 버블 보블모자
SymptomNamePixellation |= 픽셀화
Symptom0NPCCommentBurn |= 화상을 입었어. 피부가 돌아와야해.
Symptom0NPCCommentBurn |= 까맣게 그을린 피부를 교체해야해.
Symptom0NPCCommentBurn |= 불에 머리를 부딪혔는데 머리카락이 다시 자라야해.
Symptom0NPCCommentBurn |= 난로와 하이파이브를 했어.
Symptom1NPCCommentBurn |= 화상을 입어 아파.
Symptom1NPCCommentBurn |= 불길에 부딪혀서 아파.
Symptom1NPCCommentBurn |= 화상을 입어서 아파!
SymptomNameCharmless |= 무매력
Symptom0NPCCommentCharmless |= 누군가를 유혹할 무언가가 필요해.
Symptom0NPCCommentCharmless |= 좀 지루하네.
Symptom0NPCCommentCharmless |= 좀 더 나아지게 도와줘, 바보야.
Symptom1NPCCommentCharmless |= 아침에 일어날 수가 없어. 저녁에도 못 일어나.
Symptom1NPCCommentCharmless |= 중요한 시간에 일을 할 수가 없어.
Symptom1NPCCommentCharmless |= 샘물이 말라버렸어.
Symptom1NPCCommentWound |= 몬스터와 싸우려면 더 강해져야만해.
Symptom1NPCCommentWound |= 더 튼튼한 피부가 필요해.
Symptom1NPCCommentWound |= 몬스터를 죽이는 근육이 더 필요하군.
Symptom0NPCCommentNight Terrors |= 밤에 겁이 나.
Symptom0NPCCommentNight Terrors |= 두려움 때문에 잠을 잘수가 없어.
Symptom0NPCCommentNight Terrors |= 악몽을 꿔.
Symptom1NPCCommentNight Terrors |= 수면에 도움이 필요해.
Symptom1NPCCommentNight Terrors |= 밤에 잠에서 깨.
Symptom1NPCCommentNight Terrors |= 졸음이 쏟아져.
Symptom0NPCCommentConstipation |= 아래에서 막히네.
Symptom0NPCCommentConstipation |= 내 내장을 풀어야해.
Symptom0NPCCommentConstipation |= 며칠 동안 안 했어.
Symptom1NPCCommentConstipation |= 브라운 씨를 구출하려면 강해져야해.
Symptom1NPCCommentConstipation |= 더 유연해져야해.
Symptom1NPCCommentConstipation |= 내 몸에는 갑옷이 필요해.
Symptom0NPCCommentFracture |= 뼈가 부러졌어. 다시 자라야해.
Symptom0NPCCommentFracture |= 뼈에 금이 갔어.
Symptom0NPCCommentFracture |= 뼈에 금이 간 부분을 메워야해.
Symptom1NPCCommentFracture |= 더 튼튼한 뼈가 필요해.
Symptom1NPCCommentFracture |= 내 뼈가 너무 약해.
Symptom1NPCCommentFracture |= 더 튼튼한 골격이 필요해.
Symptom0NPCCommentPossessed |= 나는 영혼에 사로잡힌 것 같아.
Symptom0NPCCommentPossessed |= 마녀가 내 안에 마법을 걸었어.
Symptom0NPCCommentPossessed |= 나는 요즘 나 자신이 아니었어.
Symptom1NPCCommentPossessed |= 또 다른 내가 나를 졸리게 해.
Symptom1NPCCommentPossessed |= 두 개의 마음이 하나에 있으면 피곤해.
Symptom1NPCCommentPossessed |= 게으른 유령에게 홀린 것 같아.
Symptom0NPCCommentSilenced |= 난... 말하려고... 애쓰고 있어.
Symptom0NPCCommentSilenced |= 흠흠흠흠흠.
Symptom0NPCCommentSilenced |= 난... 할 수 없어... 말할 수 없어... 많이.
Symptom1NPCCommentSilenced |= 너무... 많은... 지식을... 공유한다.
Symptom1NPCCommentSilenced |= 자유... 내... 뇌.
Symptom1NPCCommentSilenced |= 나는... 알아... 답을... 알아!
Symptom0NPCCommentMonster Gash |= 메스꺼워.
Symptom0NPCCommentMonster Gash |= 좀 아픈 것 같아.
Symptom0NPCCommentMonster Gash |= 저녁을 토해내고 싶어.
Symptom1NPCCommentMonster Gash |= 괴물이 내 머리를 베었어.
Symptom1NPCCommentMonster Gash |= 큰 상처를 입었어.
Symptom1NPCCommentMonster Gash |= 두피가 찢어졌어.
Symptom2NPCCommentMonster Gash |= 그 공격 이후에 몬스터가 무서워요.
Symptom2NPCCommentMonster Gash |= 계속 두려움에 떨고있어.
Symptom2NPCCommentMonster Gash |= 그 공격은 나에게 큰 충격이었어.
Symptom0NPCCommentBee Hair |= 벌이 무서워.
Symptom0NPCCommentBee Hair |= 윙윙거리는 소리가 두렵워.
Symptom0NPCCommentBee Hair |= 근처를 날아다니는 것들을 참을 수 없다.
Symptom2NPCCommentBee Hair |= 머리에서 역한 냄새가나.
Symptom2NPCCommentBee Hair |= 시럽병 냄새가 나네.
Symptom2NPCCommentBee Hair |= 이 달콤한 향기가 불쾌해.
Symptom0NPCCommentCurse Trumpeting |= 배가 아파.
Symptom0NPCCommentCurse Trumpeting |= 엉덩이에서 바람이 나와.
Symptom0NPCCommentCurse Trumpeting |= 방귀가 계속나와.
Symptom1NPCCommentCurse Trumpeting |= 방귀가 무섭워.
Symptom1NPCCommentCurse Trumpeting |= 엉덩이에서 나쁜 바람이 불어.
Symptom1NPCCommentCurse Trumpeting |= 방귀가 자연스럽지 않아.
Symptom2NPCCommentCurse Trumpeting |= 내가 돌풍을 일으키면 냄새가 난다.
Symptom2NPCCommentCurse Trumpeting |= 나는 밖을 오염시키고 있어.
