PlayerFamilyGifted_Spouse_LIKE |= 와! 정말 놀라워!
PlayerFamilyGifted_Spouse_LIKE |= 내가 이런 걸 좋아한다는 걸 기억했구나? 사랑해!
PlayerFamilyGifted_Spouse_LIKE |= 당신은 정말 사랑스럽고 내가 정말 사랑하는 사람이야!
PlayerFamilyGifted_Spouse_LIKE |= 세상에! 특별한 선물로 내 마음을 설레게 만들었어.
PlayerFamilyGifted_Spouse_LIKE |= 내가 가장 좋아하는 거잖아! 하지만 당신은 이미 그걸 알고 있지, 내 사랑.
PlayerFamilyGifted_Spouse_LIKE |= 나는 이것들을 정말로 좋아해! 당신은 정말 놀라운 존재야.
PlayerFamilyGifted_Spouse_LIKE |= 내가 가장 좋아하는 거야! 당신을 많이 사랑해!
PlayerFamilyGifted_Spouse_DISLIKE |= 그러지 말았어야 했어! 나는 진지해. 그러지 말았어야 했어.
PlayerFamilyGifted_Spouse_DISLIKE |= 내가 당신을 미워하게 만들려고 하는 거야?
PlayerFamilyGifted_Spouse_DISLIKE |= 왜 사랑하는 사람에게 이런 것을 주는거야?!
PlayerFamilyGifted_Spouse_DISLIKE |= 내가 이거 싫어하는 거 알잖아!
PlayerFamilyGifted_Spouse_DISLIKE |= 나 지금 말문이 막혔어.
PlayerFamilyGifted_Spouse_DISLIKE |= 나를 말려 죽이려는 거야?
PlayerFamilyGifted_Spouse_DISLIKE |= 지금 농담하는 거지?
PlayerFamilyGifted_Spouse_DISLIKE |= 윽! 난 이것들이 싫어! 왜 나한테 주는거야?
PlayerFamilyGifted_Spouse_UNKNOWN |= 나를 위한 거라고? 당신은 정말 사려 깊은 사람이야.
PlayerFamilyGifted_Spouse_UNKNOWN |= 오, 이러지 말았어야지, 자기야.
PlayerFamilyGifted_Spouse_UNKNOWN |= 아, 당신은 정말 친절한 파트너군요.
PlayerFamilyGifted_Spouse_UNKNOWN |= 고마워 내 사랑.
PlayerFamilyGifted_Spouse_UNKNOWN |= 나는 당신이 사려 깊은 점이 좋아.
PlayerFamilyGifted_Spouse_UNKNOWN |= 이 낭만적인 몸짓에 고마워.
PlayerFamilyGifted_Spouse_UNKNOWN |= 고마워요, 자기.
PlayerFamilyGifted_Spouse_Birthday |= 내 생일을 기억하는구나! 사랑해!
PlayerFamilyGifted_Spouse_Birthday |= 특별한 날에 특별한 선물! 너는 사랑이야!
PlayerFamilyGifted_Spouse_Birthday |= 나를 위해? 오, 완벽해!
PlayerFamilyGifted_Spouse_Birthday |= 기억하고 있었구나! 여신의 축복이 있기를, 예쁜아.
PlayerFamilyGifted_Spouse_Birthday |= 잠시 잊어버린 줄 알았는데 이게 모든 걸 바꿔놨어.
PlayerFamilyGifted_Spouse_Birthday |= 오! 놀라워! 정말 사랑해!

PlayerFamilyGifted_AdultKid_LIKE |= 오, 멋져요! 정말 좋은 부모님이에요. 정말 자랑스러워요.
PlayerFamilyGifted_AdultKid_LIKE |= 저한테요? 저를 잘 아시네요!
PlayerFamilyGifted_AdultKid_LIKE |= 내가 좋아하는 아이템! 선물하기 전에 확인하셨군요!
PlayerFamilyGifted_AdultKid_LIKE |= 맘에 들어요! 건배!
PlayerFamilyGifted_AdultKid_LIKE |= 정말 고마워요! 멋져요!
PlayerFamilyGifted_AdultKid_DISLIKE |= 이게 대체 뭐에요?
PlayerFamilyGifted_AdultKid_DISLIKE |= .............
PlayerFamilyGifted_AdultKid_DISLIKE |= 훌륭한 부모는 아니네요.
PlayerFamilyGifted_AdultKid_DISLIKE |= 난 항상 부모님을 좀 싫어했어요, 은근히.
PlayerFamilyGifted_AdultKid_DISLIKE |= 하 하 하하 재밌네요.
PlayerFamilyGifted_AdultKid_UNKNOWN |= 건배.
PlayerFamilyGifted_AdultKid_UNKNOWN |= 고마워요, 부모님.
PlayerFamilyGifted_AdultKid_UNKNOWN |= 이게 필요했어. 고마워요.
PlayerFamilyGifted_AdultKid_UNKNOWN |= 아주 사려 깊네요.
PlayerFamilyGifted_AdultKid_UNKNOWN |= 고마워요, 사랑해요.
PlayerFamilyGifted_AdultKid_Birthday |= 오, 고마워요!
PlayerFamilyGifted_AdultKid_Birthday |= 내 중요한 날을 기억해줬군요. 사랑해요.
PlayerFamilyGifted_AdultKid_Birthday |= 지금 울고 싶어요.
PlayerFamilyGifted_AdultKid_Birthday |= 부모님은 슈퍼스타에요.
PlayerFamilyGifted_AdultKid_Birthday |= 제 생일인 걸 잊고 있었어요!

PlayerFamilyGifted_Child_LIKE |= 정말 멋진 부모님이에요. 감사합니다!
PlayerFamilyGifted_Child_LIKE |= 이거 좋아해요! 사랑해요오오오오!
PlayerFamilyGifted_Child_LIKE |= 이야!
PlayerFamilyGifted_Child_LIKE |= 오! 주세요! 주세요!
PlayerFamilyGifted_Child_LIKE |= 와아!
PlayerFamilyGifted_Child_DISLIKE |= 으으으으!
PlayerFamilyGifted_Child_DISLIKE |= 우웩!
PlayerFamilyGifted_Child_DISLIKE |= 이거 싫어요.
PlayerFamilyGifted_Child_DISLIKE |= 별로 좋진 않네요.
PlayerFamilyGifted_Child_DISLIKE |= 왜 이러는 거에요?
