Wheel_Misfire |= 이번에는 실패했네. 걱정마. 여신들이 지켜보고 있으니 힘들었겠지.
Wheel_Misfire |= 이번엔 실패했어. 그럼 다시 일하러 갈까?
Wheel_Misfire |= 실패했어! 일찍 일어난 벌레가 이번엔 새를 잡지 못했어!
Wheel_Misfire |= 이번엔 제대로 못 했어. 다시 시도할 수 있도록 다른 토끼 콘돌을 구해줄래?
Wheel_Misfire |= 이런. 이번엔 안 돼.
Wheel_Misfire |= 아무 일도 없네. 너무 흥미롭지 않아? 다시 해볼래?
Wheel_Misfire |= 코르크를 넣어야해. 실패했지만 다른 토끼 콘돌이 있으면 다시 해볼 수 있을까?
Wheel_Misfire |= 좀 운이 없었어. 자제력. 우리도 배워야겠어.
Wheel_Misfire |= 이번엔 실패했어. 최고인 우리에게도 일어날 수 있는 일이지. 최악의 상황도.
Wheel_Not_Happening |= 낭비한 콘돌이었어. 피가 솟구치지 않아?
Wheel_Not_Happening |= 낭비한 콘돌이었어. 의욕을 잃었어?
Wheel_Not_Happening |= 낭비한 콘돌이었어. 다른 생각이 있나보구나. 아무 생각이나.
Wheel_Not_Happening |= 낭비한 콘돌이었어. 뭐, 그래도 재미있는 구름 모양은 좀 봤어.
Wheel_Not_Happening |= 낭비한 콘돌이었어. 그 문제를 해결하는 데 도움이 되는 뭔가를 해야해.
Wheel_Not_Happening |= 낭비한 콘돌이었어. 내가 그런 건 아니죠?
Wheel_Not_Happening |= 낭비한 콘돌이었어. 우리 모두 겪어봤으니 걱정하지마.
Wheel_Bad |= 그래서 우리는 환희의 수레바퀴를 돌렸지. 한 번은 더 나쁘게 돌았지만 몇 번은 더 좋게 돌았어.
Wheel_Bad |= 그건... 재미있었어.
Wheel_Bad |= 그 정도 실력이면 서커스단에 들어가야지. 이 광대야.
Wheel_Bad |= 그래서 환희의 수레바퀴를 돌렸지만 숨 쉴 가치가 없었어. 다시 해볼래?
Wheel_Bad |= 정말이야? 순무 으깨는 게 더 재밌었어.
Wheel_Bad |= 더 잘해야지. 콘돌을 낭비했네
Wheel_Bad |= 콘돌을 낭비했네. 실망해서 울고 올 테니 실례할게.
Wheel_Bad |= 누가 그렇게 하라고 가르쳐준거야? 그들은 마스터가 아니야!
Wheel_Bad |= 캔들위치 마을 중심가의 보행자 전용 도로에 대해 어떻게 생각해?
Wheel_Bad |= 역사에 길이 남을 일이네. 유감이야.
Wheel_Bad |= 낭비한 콘돌이었어. 중간 이름이 '라이트닝'인가? 충격적이었거든.
Wheel_Average |= 조금 운이 없었어. 이제 어떻게 할까? 모든 균형을 회복하기 위해 낮잠을 자야 할까?
Wheel_Average |= 콘돌을 낭비했네. 호훔 한 잔 더 줄까?
Wheel_Average |= 내가 그렇게 나쁘지 않다는 걸 깨닫게 해줘서 고마워.
Wheel_Average |= 미안, 이제 페인트가 마르는 걸 보러 가야겠어.
Wheel_Average |= 기억에 남네. 기억에 남는다는 단어를 건망증으로 바꿔봐.
Wheel_Average |= 넌 더 나아질 수 있어. 그러길 바랄게. 5분 후에 다시 해보자.
Wheel_Average |= 여신들이 좋아했다면 난 예배를 포기할래.
Wheel_Average |= 미안, 하품을 멈출 수가 없어 콘돌을 낭비했네.
Wheel_Good |= 딱 필요한 거였어. 다시 해보자! 멜로우브룩 매장에서 토끼 콘돌을 더 사러 갔다와.
Wheel_Good |= 나는 하루에 4번, 식후에 3알씩 복용해. 멜로우브룩 매장에서 토끼 콘돌을 더 사와줘.
Wheel_Good |= 오오오, 이제 기운이 난다! 멜로우브룩 매장에서 토끼 콘돌을 더 사자.
Wheel_Good |= 당신은 카드 놀이하는거야? 당신은 에이스니까. 멜로우브룩 상점에서 토끼 콘돌을 더 사자.
Wheel_Good |= 잘했어! 멜로우브룩 상점에서 토끼 콘돌을 더 사자.
Wheel_Good |= 이런 실력이 있을 줄 누가 알았겠어? 멜로우브룩 상점에서 토끼 콘돌을 더 사오자.
Wheel_Good |= 나쁘지 않네! 가서 멜로우브룩 상점에서 토끼 콘돌을 더 사자.
Wheel_Amazing |= 어느 사부님께 배운거야?! 짐작도 못 할 것 같네. 멜로우브룩 상점에서 토끼 콘돌을 더 사자.
Wheel_Amazing |= 콘돌 더 있어? 정말 멋졌어.
Wheel_Amazing |= 여신이 웃고 있을 거야! 다시 해보자!
Wheel_Amazing |= 퀼도 방금 움직였나요? 콘돌 더 있어?
Wheel_Amazing |= 인크레더블의 물약을 마셨나요? 다시 해보자!
Wheel_Amazing |= 우와! 15초 동안의 기쁨이었어. 다시 해보자!
Wheel_Amazing |= 저 멋진 음악에 맞춰 작곡을 해볼게. 잠시만 실례할게. 멜로우브룩 상점에서 토끼 콘돌을 더 사와줘.
Wheel_Conception |= 환희의 수레바퀴에 성공했어! 황새가 찾아올 것 같아!
Wheel_Conception |= 환희의 수레바퀴에 성공했어! 아기야! 정말 신난다! 사랑해!
Wheel_Conception |= 환희의 수레바퀴에 성공했어! 아기를 세 명 낳고 싶어. 각각 한 명씩.
Wheel_Conception |= 환희의 수레바퀴에 성공했어! 아기가 우리처럼 생겼으면 좋겠지만 겨드랑이 털이 없었으면 좋겠어.
Wheel_Conception |= 환희의 수레바퀴에 성공했어! 멋진 소식이야!
Wheel_Conception |= 환희의 수레바퀴에 성공했어! 정말 운이 좋았어! 좋은 이름을 생각해야겠어!
Wheel_Conception |= 환희의 수레바퀴에 성공했어! 너무 기쁘다! 여신의 축복을 받았어!
Wheel_Conception |= 환희의 수레바퀴에 성공했어! 축복받은 날입이야! 오늘부터 일주일 후, 미래가 시작될거야!
Wheel_Conception |= 환희의 수레바퀴에 성공했어! 이제 우리는 끔찍한 냄새와 함께 잠도 못 자고 돈도 더 많이 벌 수 있어! 만세!
Wheel_Twins |= 그럼 아기가 두 명이라는 거야?! 여신께 축복을!
Wheel_Twins |= 그럼 쌍둥이라는 거야? 이게 얼마나 드문 일인지 알아? 뭐라고 부를까?
Wheel_Twins |= 쌍둥이가 태어났어! 아놀드와 대니라고 부르자!
Wheel_Twins |= 그럼 아기가 둘이라는 거야?! 잘됐네! 우리가 쌍둥이를 가지면 다들 쌍둥이를 원할 거야!
Wheel_Twins |= 쌍둥이가 생긴다는 뜻이야! 솔니르와 루미노스! 우리만의 태양과 달!
Wheel_Pre |= 아기를 위해 노력할 시간이야. 달을 향해!
Wheel_Pre |= 아기를 가지려고? 티르 나 노그으로 데려다줘. 빠른 여행만 하지말고.
Wheel_Pre |= 아기 시간? 주머니에 콘돌을 넣은 거야, 아니면 양말만 넣은 거야?
