DateSpot_The_Cuttings |= 벌목지
DateSpot_The_Cuttings_TreasureHint |= 수많은 그루터기 옆에는 다른 나무와 다른 나무가 있습니다. 새소리가 사방에서 들려옵니다.
DateSpot_Brook_Corner |= 개울가 모퉁이
DateSpot_Brook_Corner_TreasureHint |= 들판의 축제가 열리는 곳에서는 가을이 오기 전에 3개의 문을 찾으세요.
DateSpot_The_Watcher |= 감시자
DateSpot_The_Watcher_TreasureHint |= 보물은 낭만적인 장소에 묻혀있습니다. 돌 사람들이 내려다 보이는 곳을 찾으십시오. 하얀 울타리에 묻혀 있는 보물.
DateSpot_The_Watched |= 감시받는 자
DateSpot_The_Watched_TreasureHint |= 포피힐 남쪽에는 라벤더 옆 동상이 있습니다. 보물은 여기 열린 땅에 놓여 있습니다.
DateSpot_Kings_Meadow |= 왕의 초원
DateSpot_Kings_Meadow_TreasureHint |= 커다란 붉은 꽃의 향기 속에서 노란색과 보라색 꽃밭을 찾아보세요.
DateSpot_Lovers_Laugh |= 연인의 웃음소리
DateSpot_Lovers_Laugh_TreasureHint |= 연인들이 만나는 비밀의 숲에 묻혀 있습니다. 키 큰 나무가 입구를 지키고 있습니다.
DateSpot_Baker_Grove |= 제빵사의 작은 정원
DateSpot_Baker_Grove_TreasureHint |= 양귀비 마을로 향하세요. 덥수룩한 모자를 쓴 여섯 명의 과일 신사가 불 주변에서 팔다리를 따뜻하게 녹이고 있습니다. 관문을 파보세요.
DateSpot_Rhubarbs_Crumble |= 대황 파편
DateSpot_Rhubarbs_Crumble_TreasureHint |= 개울과 웅덩이에서 서쪽으로 떨어진 외딴 유적지입니다. 거칠고 바람이 많이 부는 곳이니 보온에 유의하세요!
DateSpot_Apples_Crumble |= 사과 파편
DateSpot_Apples_Crumble_TreasureHint |= 이 황량한 곳에서 피난처를 찾는 여행자를 따뜻하게 감싸주는 무너져 내리는 벽, 불꽃의 지직거림이 느껴집니다.
DateSpot_Blackberries_Crumble |= 블루베리 파편
DateSpot_Blackberries_Crumble_TreasureHint |= 황무지로 향하세요. 폐허 북서쪽의 빈 언덕, 강 하류에 있는 유적지 안에 있습니다.
DateSpot_Sweetmusic_Chin |= 스위트뮤직 친
DateSpot_Sweetmusic_Chin_TreasureHint |= 나무와 벽 위에 서서 남쪽을 바라보세요. 왼쪽은 팬츠, 오른쪽은 연못입니다. 지금 서 있는 곳을 파보세요. 발견하면 영광입니다.
DateSpot_NookieNookNook |= 누키 눅 눅
DateSpot_NookieNookNook_TreasureHint |= 보라색 식물들이 한가롭게 쉬고 있는 다리 건너편. 양귀비는 물이 떨어지는 것을 지켜봅니다. 여신의 이름을 딴 곳에 있는 높은 돌 옆을 파보세요.
DateSpot_Wildcat_Ruin |= 살쾡이 폐허
DateSpot_Wildcat_Ruin_TreasureHint |= 포피힐을 떠나 서쪽으로 가세요. 바위에 있는 문 서쪽에 있는 정중한 꽃이 있는 유적지를 찾으세요.
DateSpot_Forgotten_Hole |= 잊혀진 구멍
DateSpot_Forgotten_Hole_TreasureHint |= 홀로 서 있는 선술집으로 향하세요. 남동쪽으로 이동하여 바위 사이의 비밀스러운 공터에 동굴이 숨겨져 있는 곳으로 가서 풀밭에 있는 이상한 상징을 찾아보세요.
DateSpot_Testy_Falls |= 테스티 폭포
DateSpot_Testy_Falls_TreasureHint |= 낡은 베일 농장으로 향하세요. 떨어지는 물 가까이에 붉은색 꽃과 분홍빛 꽃이 보물이 묻혀 있는 그루터기를 내려다보고 있습니다.
DateSpot_Cuckoo_Tree |= 뻐꾸기 나무
DateSpot_Cuckoo_Tree_TreasureHint |= 나무 주위에 많은 돌이 있습니다. 보물은 서클 안에 있습니다. 나무를 찾아보시겠어요?
DateSpot_Lost_Man |= 잃어버린 남자
DateSpot_Lost_Man_TreasureHint |= 하얀 문을 통과해 키 큰 남자가 조용히 서 있는 곳으로 가세요. 그의 발밑에서 보물을 찾을 수 있습니다. 이걸 사냥하려면 뻐꾸기가 되어야 합니다.
DateSpot_Abandoned_Hut |= 버려진 오두막
DateSpot_Abandoned_Hut_TreasureHint |= 벽에 이상한 문양이 있는 숲 속 집을 찾아보세요. 거주자가 있는 곳에 보물이 있습니다.
DateSpot_Sleepers_Jetty |= 잠꾸러기의 부두
DateSpot_Sleepers_Jetty_TreasureHint |= 모험이 시작되는 바위와 잠자는 곳 사이에 묻혀 있는 것 같습니다. 집 근처인 것 같네요.
DateSpot_Jabbers_Jaw |= 재버의 턱
DateSpot_Jabbers_Jaw_TreasureHint |= 교차로에서 완만한 웅덩이가 내려다보이는 이빨 모양의 돌 아치를 찾아보세요.
DateSpot_Resting_Man |= 휴식 중인 남자
DateSpot_Resting_Man_TreasureHint |= 휴식처에 앉아 북쪽을 바라보면 키가 큰 남자가 있습니다. 그와 동상 사이에서 땅을 파야 합니다. 실패하더라도 실망하지 마세요.
DateSpot_Dirty_Den |= 더러운 동굴
DateSpot_Dirty_Den_TreasureHint |= 캔들위치 이웃에 이 보물이 있습니다. 초록색으로 둘러싸인 빨간 공 아래, 척이 일어나는 목조 주택에 있습니다. 이상한 단서죠, 알아요.
DateSpot_Eyre_Pond |= 아이어 연못
DateSpot_Eyre_Pond_TreasureHint |= 서쪽 골짜기에는 연못 아래에 진흙밭이 있는데, 근처에 노란 풀이 자라고 있습니다. 하얀 나무가 그 위를 지켜보고 있습니다.
DateSpot_Wuthering_Pond |= 폭풍의 연못
DateSpot_Wuthering_Pond_TreasureHint |= 서쪽의 어느 곳입니다. 가장 낮은 연못의 왼쪽에는 물 건너 무늬가 있는 돌로 보이는 진흙밭이 있습니다.
DateSpot_Wildfell_Pond |= 와일드펠 연못
DateSpot_Wildfell_Pond_TreasureHint |= 삼중 물 위의 야행성 과일 덤불 아래, 근처에 부자연스러운 불꽃의 빛이 있습니다. 계곡의 서쪽 어딘가에 있어야 합니다.
DateSpot_Memory_Cape |= 기억의 곶
DateSpot_Memory_Cape_TreasureHint |= 세상을 떠난 외로운 부자. 시간이 흘러 하나가 된 사랑하는 부부. 아무도. 그는 상을 숨깁니다. 이곳은 고대인들이 잠을 자던 곳이라고 합니다.
DateSpot_Feinters_Slab |= 페인터의 석판
DateSpot_Feinters_Slab_TreasureHint |= 돌 테이블과 깨진 바퀴가 있는 곳을 파헤쳐야 합니다. 찾기는 아주 쉬워요. 시체만 찾지 마세요!
DateSpot_Pool_Of_Passing |= 통과의 웅덩이
DateSpot_Pool_Of_Passing_TreasureHint |= 환생의 관문인 물웅덩이를 돌로 둘러싸고 있는 고리가 있습니다.
DateSpot_Stone_Blossom |= 돌 꽃
DateSpot_Stone_Blossom_TreasureHint |= 그늘에 서 있는 동상 아래, 반짝이는 파란색 아치 아래에 있습니다. 이곳은 베일의 번화한 지역에 있어야 합니다.
DateSpot_The_Necking_Stump |= 목을 매는 그루터기
DateSpot_The_Necking_Stump_TreasureHint |= 작은 그루터기에 상이 숨겨져 있습니다. 땅을 파면 불이 몸을 따뜻하게 해줍니다. L자로 된 물. 이상한 단서지만 멜로우필드를 찾아보세요.
DateSpot_Longing_Garden |= 그리움의 정원
DateSpot_Longing_Garden_TreasureHint |= 두 개의 녹색 아치가 그 자리로 안내합니다. 소용돌이치는 돌이 당신을 지켜보고 있습니다. 깔끔한 울타리와 토피어리가 당신을 숨겨줍니다.
DateSpot_Glass_House |= 유리 주택
DateSpot_Glass_House_TreasureHint |= 식물을 보호하기 위해 사각형의 나무 기둥으로 만든 작은 구조물입니다. 건물 오른쪽을 파보세요. 이곳에서는 허브 냄새가 강합니다.
DateSpot_Carrot_Top |= 당근 최고
DateSpot_Carrot_Top_TreasureHint |= 아치를 지나 벌들을 지나면 초록색 모자를 쓴 8명의 키 큰 인물들이 서로 마주보고 있어요. 약간 수수께끼 같지만 큰 정원이 가장 먼저 눈에 들어옵니다.
DateSpot_Poppy_Cranny |= 양귀비 크래니
DateSpot_Poppy_Cranny_TreasureHint |= 라벤더, 해바라기, 허브의 향기가 가득한 화려한 정원에서 선명한 붉은색으로 둘러싸인 멋진 정원을 즐겨보세요.
DateSpot_Old_Lady_Falls |= 늙은 여인의 폭포
DateSpot_Old_Lady_Falls_TreasureHint |= 멜로우브룩 북쪽의 폭포수 근처에 있는 비밀의 문 옆에 그루터기가 있습니다.
DateSpot_Cuddlers_Corner |= 포옹꾼의 모퉁이
DateSpot_Cuddlers_Corner_TreasureHint |= 스톤크라운의 서쪽. 돌로 된 보초가 하얀 길을 따라 늘어서 있습니다. 유적은 조용한 물가에 자리 잡고 있습니다. 보물은 남서쪽 한적한 구석에 묻혀 있습니다.
DateSpot_The_Thoughtful_Man |= 사려 깊은 남자
DateSpot_The_Thoughtful_Man_TreasureHint |= 멜로우필즈에서는 사람들이 지나가는 곳에서 남쪽으로 가세요. 키가 큰 남자에게서 몇 걸음만 가면 매끈한 덤불이 있습니다. 그곳을 파보세요.
DateSpot_GoldenFields |= 금빛들판
