Achievement_ItsRaw_Name |= 날것 그대로
Achievement_ItsRaw_Desc |= 첫 번째 식사를 요리하세요.
Achievement_HailToTheChef_Name |= 셰프에게 찬사를
Achievement_HailToTheChef_Desc |= 별 다섯 개짜리 식사를 요리하세요.
Achievement_IronMaiden_Name |= 철의 여인
Achievement_IronMaiden_Desc |= 첫 번째 아이템을 제작하세요.
Achievement_HittingTheSweetSpots_Name |= 최적의 장소 찾기
Achievement_HittingTheSweetSpots_Desc |= 5성 아이템을 제작하세요.
Achievement_JustASpoonfulOfSugar_Name |= 설탕 한 스푼만
Achievement_JustASpoonfulOfSugar_Desc |= 첫 번째 치료제를 만드세요.
Achievement_GeorgeThinksItsMarvellous_Name |= 조지의 놀라운 생각
Achievement_GeorgeThinksItsMarvellous_Desc |= 첫 번째 5성 치료제를 제작하세요.
Achievement_OpenAllHours_Name |= 24시간 영업
Achievement_OpenAllHours_Desc |= 상점을 구매하세요.
Achievement_YoureSpecial_Name |= 당신은 특별해
Achievement_YoureSpecial_Desc |= 상점을 특화하세요.
Achievement_PerkyBlinder_Name |= 퍼키 블라인더
Achievement_PerkyBlinder_Desc |= 상점의 모든 기본 특전을 잠금 해제하세요.
Achievement_YouveGotAFriendInMe_Name |= 내 안에 친구
Achievement_YouveGotAFriendInMe_Desc |= 마을 사람과 친해지세요.
Achievement_TheyLikeMe_Name |= 그들은 나를 좋아해
Achievement_TheyLikeMe_Desc |= 주민이 당신을 좋아하도록 격려하세요.
Achievement_TheNPCWhoLovedMe_Name |= 나를 사랑한 NPC
Achievement_TheNPCWhoLovedMe_Desc |= 주민과 사랑의 유대를 형성하세요.
Achievement_AHitchInTime_Name |= 시간 문제
Achievement_AHitchInTime_Desc |= 결혼하기.
Achievement_KinderSurprise_Name |= 친절한 깜짝 선물
Achievement_KinderSurprise_Desc |= 아기를 낳거나 입양하세요.
Achievement_CombYourHeir_Name |= 후계자 빗어주기
Achievement_CombYourHeir_Desc |= 킨시드를 물려주세요.
Achievement_OohYouShouldntHave_Name |= 오, 그러지 마세요!
Achievement_OohYouShouldntHave_Desc |= 마을 주민에게 좋아하는 아이템 중 하나를 선물하세요.
Achievement_TheseAreTheThreeOfMyFavouriteThings_Name |= 가장 좋아하는 세 가지 아이템
Achievement_TheseAreTheThreeOfMyFavouriteThings_Desc |= 마을 주민에게 좋아하는 아이템을 모두 선물하세요.
Achievement_NoticeableProgress_Name |= 눈에 띄는 진행 상황
Achievement_NoticeableProgress_Desc |= NPC에게 부탁 또는 게시판 작업을 수행합니다.
Achievement_IllCryIfIWantTo_Name |= 울고 싶으면 울어
Achievement_IllCryIfIWantTo_Desc |= NPC의 생일에 싫어하는 아이템을 선물하세요.
Achievement_PicnicInTheWoods_Name |= 숲 속 피크닉
Achievement_PicnicInTheWoods_Desc |= 심플우드 클리어.
Achievement_YoureSimplyTheBest_Name |= 당신이 최고
Achievement_YoureSimplyTheBest_Desc |= 최대한 깊은 곳을 여행한 후 심플우드를 클리어하세요.
Achievement_HagsToTheLeftOfMeCroakersToTheRight_Name |= 내 왼쪽은 할망, 오른쪽은 크로커스
Achievement_HagsToTheLeftOfMeCroakersToTheRight_Desc |= 미드우드를 클리어하세요.
Achievement_StuckInTheMiddleWithYou_Name |= 당신과 함께 중간에 갇힘
