NPCCONVERSATION_GREETING_ALL_1 |= 안녕하세요. 잘 지내셨나요?
NPCCONVERSATION_GREETING_ALL_1 |= 안녕 친구. 어떻게 지내?
NPCCONVERSATION_GREETING_ALL_1 |= 어떻게 지내요?
NPCCONVERSATION_GREETING_ALL_1 |= 어떻게 지내세요?
NPCCONVERSATION_GREETING_ALL_1 |= 잘 지내요?
NPCCONVERSATION_GREETING_ALL_1 |= 잘 지내?
NPCCONVERSATION_GREETING_ALL_1 |= 여신들이 잘 대해주네요.
NPCCONVERSATION_GREETING_ALL_1 |= 안녕하세요! 잘 지내시나요?
NPCCONVERSATION_GREETING_ALL_1 |= 잘 지내시나요?
NPCCONVERSATION_GREETING_ALL_1 |= 안녕하세요! 오늘은 어떠세요?
NPCCONVERSATION_GREETING_ALL_1 |= 잘 지내세요?
NPCCONVERSATION_GREETING_ALL_1 |= 안녕하세요. 잘 지내세요?
NPCCONVERSATION_GREETING_ALL_1 |= 좋은 하루. 잘 지내세요?
NPCCONVERSATION_GREETING_ALL_2 |= 고마워요
NPCCONVERSATION_GREETING_ALL_2 |= 잘 지내요
NPCCONVERSATION_GREETING_ALL_2 |= 더 좋아졌어
NPCCONVERSATION_GREETING_ALL_2 |= 버튼처럼 밝아.
NPCCONVERSATION_GREETING_ALL_2 |= 데이지처럼 행복해.
NPCCONVERSATION_GREETING_ALL_2 |= 괜찮아요 감사합니다.
NPCCONVERSATION_GREETING_ALL_2 |= 기분이 좋아요. 감사합니다.
NPCCONVERSATION_GREETING_ALL_2 |= 기분이 정말 좋아요. 감사합니다.
NPCCONVERSATION_GREETING_ALL_2 |= 나쁘지 않아.
NPCCONVERSATION_GREETING_ALL_2 |= 나쁘지 않아요.
NPCCONVERSATION_GREETING_ALL_2 |= 오늘 일어나서 그들에게.
NPCCONVERSATION_GREETING_ALL_2 |= 사과처럼 복숭아빛이군요. 감사합니다.
NPCCONVERSATION_GREETING_ALL_2 |= 블루벨처럼 장밋빛.
NPCCONVERSATION_FAREWELL_ALL_1 |= 가야겠다! 화이팅!
NPCCONVERSATION_FAREWELL_ALL_1 |= 잘 다녀오세요.
NPCCONVERSATION_FAREWELL_ALL_1 |= 잘 가. 만나서 반가웠어
NPCCONVERSATION_FAREWELL_ALL_1 |= 이만 가볼게요.
NPCCONVERSATION_FAREWELL_ALL_1 |= 안녕히 계세요.
NPCCONVERSATION_FAREWELL_ALL_1 |= 다음에 만날 때까지.
NPCCONVERSATION_FAREWELL_ALL_1 |= 곧 다시 만날 수 있기를 바랍니다.
NPCCONVERSATION_FAREWELL_ALL_1 |= 예전 일상으로 돌아갑니다. 또 보자!
NPCCONVERSATION_FAREWELL_ALL_1 |= 몸조심하세요.
NPCCONVERSATION_FAREWELL_ALL_1 |= 나중에 봐요
NPCCONVERSATION_FAREWELL_ALL_1 |= 안녕히 계세요
NPCCONVERSATION_FAREWELL_ALL_1 |= 끊을게요 타타!
NPCCONVERSATION_FAREWELL_ALL_1 |= 우리 대화는 훌륭했어. 안녕히 가세요!
