WFIntroT1 |= 여기 있었구나!
WFIntroT2 |= 이쪽으로 와!
WeddingT1 |= 우리는 오늘 여신의 눈 아래 두 연인이 하나가 되기 위해 이 자리에 모였습니다.
WeddingT2 |= 바람에 평화가 깃들게 하소서.
WeddingT3 |= 북, 남, 동, 서
WeddingT4 |= 공정한 여신들 아래서 우리는 이 영혼들을 묶습니다.
WeddingT5 |= 돌과 진흙의 정령들.\n대지와 바람과 불의 정령들.
WeddingT7 |= 구름을 쫓아내고 밤을 훔치세요.
WeddingT8 |= 울려 퍼지는 마음과 노래하는 영혼으로.
WeddingT9 |= 망치를 휘두르는 자 고프여, 나와라!
WeddingT10 |= 별의 전달자 시손이여, 나와라!
WeddingT11 |= 세계의 치유자 디안이여, 나와라!
WeddingT12 |= 환희의 정령, 수클루스가여 오라!
WeddingT13 |= 보호자이자 수호자, 방가이스여, 나와라!
WeddingT14 |= 고대인들이 축복을 내렸습니다! 죽음이 이 부부를 갈라놓을 때까지 도와주소서.
WeddingT15 |= 이제 우리는 영원한 동반자로 둘을 하나로 묶습니다.
WeddingT16 |= 나무는 가지를 맺고,\n가지는 열매를 맺고,\n열매는 씨앗을 맺고,\n씨앗은 흙으로 돌아갑니다.
WeddingT17 |= 토양은 나무를 낳고\n나무는 가지를 낳습니다.
WeddingT18 |= 이제 뭉쳐서 원을 완성하십시오.\n띠가 묶였습니다.
WeddingT19 |= 말씀이 선포되었습니다.\n 불꽃이 점화되었습니다.\n 이제 난로에 불이 켜졌습니다.
FuneralT1 |= 당신은 우리를 믿었죠.
FuneralT2 |= 우리가 원하는 것은 당신을 자랑스럽게 하는 것입니다.
FuneralT3 |= 아마 둘 다 숲에서 서로를 발견하고 함께 달리겠죠.
FuneralT4 |= 언젠가는 당신과 함께 할겠습니다.
FuneralT5 |= 우리를 위해 해준 모든 것에 감사를 전합니다.
FuneralT6 |= 물이 당신을 잘 데려가기를 바랄게요.
FuneralT7 |= 여신님들이 축복해 주시네요.
SummertideYear1T1 |= 잘 오셨습니다, 베일의 좋은 사람들이시군요. 서머타이드가 왔어요!
SummertideYear1T2 |= 흐랴아
