LETTER_DEFAULT_SALUTATION |= 친애하는

LETTER_TITLE_FAVOUR |= 부탁이있어.
LETTER_TEXT_FAVOUR |= 잘 지내으면 좋겠어! 부탁이 하나 있는데, 시간 있어?
LETTER_TEXT_FAVOUR |= <FavourRequest>

LETTER_TITLE_FNFTHANKYOU1 |= 고마워!
LETTER_TEXT_FNFTHANKYOU1 |= 새 집을 마련해주어서 얼마나 고마운지 한 마디 전하고 싶었어.
LETTER_TEXT_FNFTHANKYOU1 |= 정말 상황이 나아졌고. 정말 고마울 따름이야!
LETTER_SIGNOFF_FNFTHANKYOU1 |= 친절한 안부를 전해,

LETTER_TITLE_FNFTHANKYOU2 |= 고마워!
LETTER_TEXT_FNFTHANKYOU2 |= 새 집을 마련해 주어서 고맙다는 말을 꼭 전하고 싶었어.
LETTER_TEXT_FNFTHANKYOU2 |= 일상생활이 정말 긍정적으로 바뀌었고 진심으로 고마워.
LETTER_SIGNOFF_FNFTHANKYOU2 |= 고마움을 담아,

LETTER_TITLE_FNFTHANKYOU3 |= 고마워!
LETTER_TEXT_FNFTHANKYOU3 |= 잠시 시간을 내어 새 집에 대해 진심으로 고마움의 말을 전하고 싶었어.
LETTER_TEXT_FNFTHANKYOU3 |= 정말 축복이야. 너의 친절함과 체계적인 기술에 정말 고마움을 전해!
LETTER_SIGNOFF_FNFTHANKYOU3 |= 너의,

LETTER_TITLE_FAMILYBIRTHDAYGIFT1 |= 생일 축하해!
LETTER_TEXT_FAMILYBIRTHDAYGIFT1 |= 생일 축하해!
LETTER_TEXT_FAMILYBIRTHDAYGIFT1 |= 축하해! 또 한해가 지났어.
LETTER_TEXT_FAMILYBIRTHDAYGIFT1 |= 너의 선물을 동봉했어.
LETTER_TEXT_FAMILYBIRTHDAYGIFT1 |= 네가 이걸 좋아하면 좋겠다.
LETTER_SIGNOFF_FAMILYBIRTHDAYGIFT1 |= 너의 생일에 가장 따뜻한 안부를 담아,

LETTER_TITLE_FAMILYBIRTHDAYGIFT2 |= 생일 축하해!
LETTER_TEXT_FAMILYBIRTHDAYGIFT2 |= 너의 생일을 축하해! 
LETTER_TEXT_FAMILYBIRTHDAYGIFT2 |= 이 축복받은 기념일을 축하하기 위해 선물을 함께보내.
LETTER_TEXT_FAMILYBIRTHDAYGIFT2 |= 오늘 하루도 좋은 일만 가득하길 바라며, 즐거운 시간 보내기 바라.
LETTER_SIGNOFF_FAMILYBIRTHDAYGIFT2 |= 사랑을 담아,

LETTER_TITLE_FAMILYBIRTHDAYGIFT3 |= 생일 축하해!
LETTER_TEXT_FAMILYBIRTHDAYGIFT3 |= 생일 축하해!
LETTER_TEXT_FAMILYBIRTHDAYGIFT3 |= 이 중요한 순간을 진심으로 축하해.
LETTER_TEXT_FAMILYBIRTHDAYGIFT3 |= 여신들이 너에게 미소를 짓고 사랑과 선물이 가득하길 바라.
LETTER_TEXT_FAMILYBIRTHDAYGIFT3 |= 마음에 들었으면 하는 선물을 함께 보냈어.
LETTER_SIGNOFF_FAMILYBIRTHDAYGIFT3 |= 항상 사랑하는,

LETTER_SALUTATION_FAMILYVISIT_PARENT1 |= 나의 소중한
LETTER_TITLE_FAMILYVISIT_PARENT1 |= 부모님의 방문
LETTER_TEXT_FAMILYVISIT_PARENT1 |= 여름의 잘 익은 과일처럼 추억을 모아 베일로 다시 여행을 떠나기로 했다.
LETTER_TEXT_FAMILYVISIT_PARENT1 |= <SEASON>의 <DAY>에 도착할 예정이야. 네가 농장에서 가꾸어온 아름다움 속에서 너를 만나길 바란다. 여린 아이에서 우리 땅의 용감한 관리인이 되기까지의 네 여정은 내 마음을 따뜻하게 해준단다.
LETTER_TEXT_FAMILYVISIT_PARENT1 |= 다시 만나기를 간절히 기다리고 있다.
LETTER_SIGNOFF_FAMILYVISIT_PARENT1 |= 사랑을 담아,

LETTER_SALUTATION_FAMILYVISIT_PARENT2 |= 안녕
LETTER_TITLE_FAMILYVISIT_PARENT2 |= 부모님의 방문
LETTER_TEXT_FAMILYVISIT_PARENT2 |= 오래된 농장의 아름다움과 너의 놀라운 여정이 나를 다시 손짓하더구나.
LETTER_TEXT_FAMILYVISIT_PARENT2 |= 나는 <SEASON>의 <DAY>에 도착할 예정이고, 베일의 번성하는 태피스트리 속에서 너의 모습을 상상해본단다. 호기심 많은 아이에서 가족 농장의 용감한 수호자로 변신한 너의 모습이 가슴이 벅차구나.
LETTER_TEXT_FAMILYVISIT_PARENT2 |= 우리의 재회를 설레는 마음으로 기대하고있단다. 
LETTER_SIGNOFF_FAMILYVISIT_PARENT2 |= 애틋하게,

LETTER_SALUTATION_FAMILYVISIT_PARENT3 |= 사랑하는
LETTER_TITLE_FAMILYVISIT_PARENT3 |= 부모님의 방문
LETTER_TEXT_FAMILYVISIT_PARENT3 |= 고향에 대한 그리움과 너의 업적을 엿보고 베일로 돌아간단다. 
LETTER_TEXT_FAMILYVISIT_PARENT3 |= 내가 도착하는 날은 <SEASON>의 <DAY>로 예정되어있어. 돼지똥을 무릎까지 뒤집어쓰고 나무에서 사과를 따는 너의 모습을 상상하게 되는구나. 
LETTER_TEXT_FAMILYVISIT_PARENT3 |= 우리의 만남을 애타게 기다리고 있단다. 
LETTER_SIGNOFF_FAMILYVISIT_PARENT3 |= 따뜻하게,

LETTER_SALUTATION_FAMILYVISIT_SIBLING1 |= 안녕
