LONG_QUEUE |= 대기열이 너무 길어요!
COMPLETE_ORDER_THANKS |= 주문을 완료해 주셔서 감사합니다!
COMPLETE_ORDER_THANKS_SELF |= 흠 셀프 서비스, 뭐, 적어도 아이템은 받았네요.
COMPLETE_ORDER_MISSING |= 제 주문은 어디 있죠! 이건 정말 모욕적이에요!
QUEUE_WAIT |= 대기열이 엄청나네요!
QUEUE_WAIT |= 서두르세요!
QUEUE_WAIT |= 왜 기다리나요?
QUEUE_WAIT |= 너무 느려요!
QUEUE_WAIT |= 너무 느려!
QUEUE_WAIT |= 쿠우우우울.
QUEUE_WAIT |= 서둘러!
QUEUE_WAIT |= 달팽이 서비스!
QUEUE_WAIT |= 난 줄 서는 거 싫어.
QUEUE_WAIT |= 얼마나 기다려야 하나요?
QUEUE_WAIT |= 영원히 기다리는 것 같아요.
QUEUE_WAIT |= 내 평생 이렇게 오래 줄을 선 적은 처음이에요.
QUEUE_WAIT |= 서비스가 너무 느립니다.
BLACKSMITH_PLACEBO |= 조금 녹슬어 보이긴 하지만 제대로 작동하게 만들 수 있어요!
PLACE_ORDER_AWAITING_SERVICE |= 주문할게 있어. 어서 일하러 오라고!
COMPLETE_ORDER_AWAITING_SERVICE |= 주문했으니 얼른 주세요!
PATIENT_AWAITING_SERVICE |= 안녕하세요 의사 선생님.
PATIENCE_RAN_OUT |= 그게 다에요, 이제 그만 가볼게요!
AWAITING_SERVICE_BS_BROWSER |= 아이템이 필요하니 어서 주세요!
AWAITING_SERVICE_BS_BROWSER_FARMING |= 잡초를 적당한 크기로 잘라내야 하는데 필요한 도구가 있나요?
AWAITING_SERVICE_BS_BROWSER_FARMING |= 잔디를 깎을 뭔가가 필요해요. 
AWAITING_SERVICE_BS_BROWSER_FARMING |= 잡초를 깎을 수 있는 구부러진 칼날이 필요해요.
AWAITING_SERVICE_BS_BROWSER_COLLECTING |= 뭔가를 수집할 물건이 필요해요. 그런 용도가 있나요?
AWAITING_SERVICE_BS_BROWSER_COLLECTING |= 휴대용 액체 용기가 있나요?
AWAITING_SERVICE_BS_BROWSER_COLLECTING |= 동그랗고 금속으로 된 물건은 없나요?
AWAITING_SERVICE_BS_BROWSER_WEAPON |= 모험을 떠나고 싶은데 도움이 될 만한 게 있나요?
AWAITING_SERVICE_BS_BROWSER_WEAPON |= 뾰족하고 아픈 걸 찾고 있어요.
AWAITING_SERVICE_BS_BROWSER_WEAPON |= 무기를 내놔!
AWAITING_SERVICE_BS_BROWSER_DIGGING |= 물건을 파헤쳐야 해요. 도움이 될 만한 게 있나요?
AWAITING_SERVICE_BS_BROWSER_DIGGING |= 급하게 뭔가를 묻어야 해요.
AWAITING_SERVICE_BS_BROWSER_DIGGING |= 정원에 구멍을 만들 무언가가 필요해요.
BS_BROWSER_SALE |= 감사합니다!
BS_BROWSER_SALE |= 정말 고마워요!
BS_BROWSER_SALE |= 정말 감사합니다.
BS_BROWSER_WRONGITEM_PASS |= 제가 해볼게요.
BS_BROWSER_WRONGITEM_FAIL |= 이게 어떻게 도움이 되나요?
BS_BROWSER_LOOK_ELSEWHERE |= 흠, 다른 매장도 가볼까?!
BS_BROWSER_LOOK_ELSEWHERE |= 다른 데 갈래요.
BS_BROWSER_LOOK_ELSEWHERE |= 여기보다 더 잘할 수 있어요.
ORDER_ACCEPTED |= 감사합니다, 곧 돌아올게요!
ORDER_ACCEPTED |= 감사합니다! 나중에 뵙겠습니다.
ORDER_ACCEPTED |= 금방 돌아올게요!
ORDER_DECLINED |= 말도 안 돼요, 모두에게 이 얘기를 할 거예요!
ORDER_DECLINED |= 진심이야? 흥.
ORDER_DECLINED |= 거절?! 이게 뭐야!
SHOP_CLOSED |= 아 가게 문 닫았어
